recipient_iso3,total_killings,mean_killings,total_pred,mean_pred,mean_residual,mean_p_any,colonial_tie,n_years
ITA,0,0.0,6.898704282963979,0.21558450884262434,-0.21558450884262434,0.08590279307805068,0,32
JAM,0,0.0,1.590656023809617,0.04970800074405053,-0.04970800074405053,0.0326459970213938,1,32
JOR,0,0.0,7.2198018134200685,0.22561880666937714,-0.22561880666937714,0.09951656050399567,1,32
MKD,0,0.0,1.3660369263274483,0.04406570730088543,-0.04406570730088543,0.03484052111943173,0,31
MHL,0,0.0,0.20831081270125154,0.006509712896914111,-0.006509712896914111,0.0042844694850290846,1,32
KIR,0,0.0,0.20014955932039594,0.006254673728762373,-0.006254673728762373,0.005264411425147763,1,32
KNA,0,0.0,0.11451900830434933,0.00545328610973092,-0.00545328610973092,0.003374954073498575,1,21
MDA,0,0.0,1.3104265878661223,0.04095083087081632,-0.04095083087081632,0.03605759834052908,0,32
MAR,0,0.0,11.619121324565267,0.3630975413926646,-0.3630975413926646,0.17013475966352956,1,32
MAC,0,0.0,0.18446959040400276,0.02635279862914325,-0.02635279862914325,0.010109874405300073,0,7
KOR,0,0.0,4.7885218093184285,0.1496413065412009,-0.1496413065412009,0.05958656095623526,0,32
LUX,0,0.0,0.49152407486272476,0.054613786095858305,-0.054613786095858305,0.014494906512081776,0,9
LTU,0,0.0,1.0571001485047158,0.03775357673231128,-0.03775357673231128,0.022522841144829102,0,28
MYS,0,0.0,7.819066374020945,0.24434582418815454,-0.24434582418815454,0.12423472035914201,1,32
NCL,0,0.0,0.22035321700434313,0.031479031000620446,-0.031479031000620446,0.01199413227065652,0,7
ROU,0,0.0,2.4356796188769154,0.0761149880899036,-0.0761149880899036,0.044888079221264574,0,32
NER,0,0.0,8.573796223172764,0.26793113197414886,-0.26793113197414886,0.15457054691741812,1,32
QAT,0,0.0,0.7819311160020304,0.03127724464008121,-0.03127724464008121,0.015845629803866973,1,25
PYF,0,0.0,0.23793850237762595,0.03399121462537514,-0.03399121462537514,0.012752936140119856,0,7
PSE,0,0.0,2.4424056056417593,0.07878727760134707,-0.07878727760134707,0.03825585541249363,0,31
FIN,0,0.0,2.3247958839640823,0.07264987137387757,-0.07264987137387757,0.025715522256328803,0,32
PRT,0,0.0,2.7671689233629277,0.09223896411209759,-0.09223896411209759,0.04229682440247409,0,30
FJI,0,0.0,1.5242730875414667,0.047633533985670835,-0.047633533985670835,0.02757223009333759,1,32
PNG,0,0.0,5.336018805084266,0.16675058765888331,-0.16675058765888331,0.08837875024673734,1,32
PLW,0,0.0,0.15454414736364172,0.004985295076246507,-0.004985295076246507,0.0031000870744577317,1,31
FSM,0,0.0,0.3773747935157753,0.011792962297367978,-0.011792962297367978,0.006959367055541134,1,32
GNB,0,0.0,0.9678610661996313,0.030245658318738478,-0.030245658318738478,0.02621930322516908,1,32
GNQ,0,0.0,0.6471137021167096,0.020222303191147175,-0.020222303191147175,0.01512886451393942,1,32
OMN,0,0.0,1.3780388944495636,0.04445286756288915,-0.04445286756288915,0.027642113585029097,0,31
NZL,0,0.0,1.675044605977403,0.059823021642050105,-0.059823021642050105,0.02803661797158174,1,28
NRU,0,0.0,0.07616449550867983,0.002380140484646245,-0.002380140484646245,0.0014671648521970037,1,32
GRD,0,0.0,0.21762471004487488,0.00680077218890234,-0.00680077218890234,0.005698332465767426,1,32
NOR,0,0.0,2.3797018774687384,0.07436568367089808,-0.07436568367089808,0.03031192339773252,0,32
GUY,0,0.0,1.0755933913360007,0.03361229347925002,-0.03361229347925002,0.021960513639870432,1,32
HKG,0,0.0,0.749749016849592,0.187437254212398,-0.187437254212398,0.06413759916778239,0,4
HUN,0,0.0,2.094622149423191,0.07757859812678485,-0.07757859812678485,0.037347343842630214,0,27
ABW,0,0.0,0.0953602024696883,0.013622886067098328,-0.013622886067098328,0.005566959878192684,0,7
