Source,Target,Year,Weight,Type,Layer
BGR,CZE,2000,0.24,Directed,Arms
BGR,ERI,1999,12.6,Directed,Arms
BGR,ERI,2004,9.54,Directed,Arms
BGR,ERI,2005,69.0,Directed,Arms
BGR,EST,1997,1.4,Directed,Arms
BGR,ETH,1998,25.0,Directed,Arms
BGR,ETH,1999,50.0,Directed,Arms
BGR,ETH,2002,20.0,Directed,Arms
BGR,ETH,2004,9.0,Directed,Arms
BGR,GEO,2001,9.76,Directed,Arms
BGR,GEO,2004,1.4,Directed,Arms
BGR,GEO,2005,18.4,Directed,Arms
BGR,GEO,2006,4.5,Directed,Arms
BGR,GEO,2007,1.5,Directed,Arms
BGR,GEO,2009,2.4,Directed,Arms
BGR,GEO,2011,1.68,Directed,Arms
BGR,GEO,2013,5.2,Directed,Arms
BGR,IRQ,2014,4.1,Directed,Arms
BGR,IRQ,2015,56.3,Directed,Arms
BGR,IRQ,2016,82.0,Directed,Arms
BGR,IRQ,2017,2.0,Directed,Arms
BGR,IRQ,2022,17.6,Directed,Arms
BGR,KHM,1996,4.0,Directed,Arms
BGR,KHM,1997,4.0,Directed,Arms
BGR,KHM,2010,4.24,Directed,Arms
BGR,LTU,1999,5.0,Directed,Arms
BGR,LTU,2014,9.0,Directed,Arms
BGR,MKD,1999,71.64,Directed,Arms
BGR,MLI,2007,7.8,Directed,Arms
BGR,MLI,2008,3.21,Directed,Arms
BGR,MLI,2009,10.44,Directed,Arms
BGR,MLI,2012,6.6,Directed,Arms
BGR,MLI,2013,7.2,Directed,Arms
BGR,MMR,1999,7.0,Directed,Arms
BGR,NGA,2015,2.6,Directed,Arms
BGR,NGA,2023,18.75,Directed,Arms
BGR,PER,1994,11.2,Directed,Arms
BGR,PER,1995,1.47,Directed,Arms
BGR,PER,1996,16.52,Directed,Arms
BGR,ROU,1992,7.5,Directed,Arms
BGR,SAU,2015,8.0,Directed,Arms
BGR,SAU,2016,1.2,Directed,Arms
BGR,SAU,2017,14.72,Directed,Arms
BGR,SEN,2014,2.0,Directed,Arms
BGR,SEN,2015,2.4,Directed,Arms
BGR,SEN,2022,1.2,Directed,Arms
BGR,SYR,1992,52.5,Directed,Arms
BGR,TCD,2008,0.8,Directed,Arms
BGR,TCD,2009,3.2,Directed,Arms
BGR,TGO,1997,2.4,Directed,Arms
BGR,TJK,2013,3.6,Directed,Arms
BGR,UGA,1998,14.0,Directed,Arms
BGR,UGA,2012,6.0,Directed,Arms
BGR,UGA,2015,1.0,Directed,Arms
BGR,UGA,2016,0.12,Directed,Arms
BGR,UGA,2018,4.0,Directed,Arms
BGR,UGA,2022,15.5,Directed,Arms
BGR,UKR,2024,14.0,Directed,Arms
BGR,USA,2002,2.9,Directed,Arms
BGR,USA,2003,6.6,Directed,Arms
BGR,USA,2014,6.1,Directed,Arms
