iso3,year,gdp_per_capita,gdp_per_capita_log,population,population_log,v2x_polyarchy,armed_conflict,conflict_intensity
MKD,1996,2306.53366957635,7.743501100583222,2012553.0,14.514914623331812,0.464,0,0
MKD,1997,1959.56073782188,7.580475613751228,1996869.0,14.507091011848686,0.478,0,0
MKD,1998,1875.81662735988,7.536799378178786,2007523.0,14.512412181773538,0.507,0,0
MKD,1999,1915.39281060996,7.557678003613815,2017142.0,14.517192216044789,0.566,0,0
MKD,2000,1861.89899780644,7.529352212437959,2026350.0,14.521746703065936,0.46,0,0
MKD,2001,1823.02267682636,7.508251213891675,2034882.0,14.525948389919638,0.449,1,1
MKD,2002,1989.13537265159,7.5954553371973725,2020157.0,14.518685789129407,0.525,0,0
MKD,2003,2445.36286400013,7.8019488015312035,2022725.0,14.519956170182017,0.617,0,0
MKD,2004,2818.5814561242,7.943989007627062,2016186.0,14.51671816582229,0.62,0,0
MKD,2005,3120.98401394233,8.045903620162926,2005330.0,14.511319193708278,0.605,0,0
MKD,2006,3440.4411057968,8.143354970576183,1994287.0,14.50579715094212,0.598,0,0
MKD,2007,4204.11328760452,8.343818679208576,1982933.0,14.50008761974001,0.589,0,0
MKD,2008,5026.4202989873,8.522463339554898,1971493.0,14.494301681697523,0.552,0,0
MKD,2009,4799.78722768888,8.47632686834867,1958782.0,14.487833409468506,0.532,0,0
MKD,2010,4833.36586759968,8.483298370945421,1946298.0,14.481439664639325,0.528,0,0
MKD,2011,5416.86672931659,8.59727283305077,1937398.0,14.476856393662544,0.48,0,0
MKD,2012,5049.8265386157,8.527109172890501,1929821.0,14.472937810465892,0.455,0,0
MKD,2013,5626.26115664893,8.635200407568773,1922716.0,14.469249327756843,0.447,0,0
MKD,2014,5925.38592218015,8.687001098427343,1917557.0,14.46656253798773,0.447,0,0
MKD,2015,5262.68671928674,8.568396958460816,1912430.0,14.463885242705794,0.443,0,0
MKD,2016,5598.48622617967,8.630251523427452,1906313.0,14.460681567972074,0.452,0,0
MKD,2017,5955.2973863451,8.69203641947534,1898657.0,14.456657352100743,0.549,0,0
MKD,2018,6713.98925398989,8.811948577001,1889051.0,14.451585144531053,0.574,0,0
MKD,2019,6718.85826635458,8.81267351824232,1876262.0,14.444792057645532,0.606,0,0
MKD,2020,6659.59651070776,8.803814177721337,1856124.0,14.434001000441398,0.601,0,0
MKD,2021,7620.80296977508,8.93863701973987,1837114.0,14.42370641997454,0.587,0,0
MKD,2022,7606.2375253797,8.936723916685809,1831712.0,14.420761606617999,0.562,0,0
MKD,2023,8674.35846327485,9.0681266497202,1827816.0,14.418632369474889,0.568,0,0
MKD,2024,9291.85661671864,9.136893662940274,1824359.0,14.416739250425303,0.563,0,0
MLI,1992,385.278654489301,5.9539668503811685,9553540.0,16.072422324400094,0.468,0,0
MLI,1993,372.412257655559,5.9200014601554125,9754786.0,16.093268594330755,0.586,0,0
MLI,1994,266.455340167693,5.585206650454857,9967031.0,16.11479330420863,0.586,1,1
MLI,1995,331.193112410921,5.802701626434122,10185365.0,16.136462444016132,0.586,0,0
MLI,1996,359.662096047648,5.885164968578735,10407278.0,16.158015927052684,0.586,0,0
MLI,1997,320.75152297828,5.770666751663055,10646495.0,16.18074128797057,0.548,0,0
MLI,1998,356.647044025322,5.8767466205229315,10919573.0,16.206067424952405,0.521,0,0
MLI,1999,364.415678427556,5.898295189782842,11227415.0,16.23386911321842,0.521,0,0
MLI,2000,304.652870194271,5.719172997934453,11559290.0,16.26300000063718,0.521,0,0
MLI,2001,346.224554251022,5.847087565273326,11912158.0,16.293070117193544,0.521,0,0
MLI,2002,378.191678628285,5.935401153412982,12288050.0,16.32413780337173,0.599,0,0
MLI,2003,441.910358475095,6.0911070526293205,12684955.0,16.355927203512184,0.625,0,0
MLI,2004,495.006294680645,6.204570479014391,13102409.0,16.388306664394882,0.625,0,0
MLI,2005,548.730382842725,6.307607214944409,13538647.0,16.421058894310697,0.625,0,0
MLI,2006,586.985415515264,6.374999973719203,13990139.0,16.45386328226064,0.625,0,0
MLI,2007,670.853394973479,6.508550625727975,14457775.0,16.486742890102846,0.611,1,1
MLI,2008,767.19483895009,6.6427407964221095,14940782.0,16.519605079003263,0.601,1,1
MLI,2009,787.482564287398,6.66884122986725,15435539.0,16.552183135943608,0.603,1,1
MLI,2010,797.151541135109,6.681044800157795,15945198.0,16.584668276034993,0.602,0,0
MLI,2011,938.292902583696,6.844062163144723,16469049.0,16.61699335913882,0.604,0,0
MLI,2012,872.506092465564,6.771369636820758,16957033.0,16.646193231986327,0.353,1,1
MLI,2013,901.920957644831,6.804526886117372,17459615.0,16.6754010577317,0.326,1,1
MLI,2014,947.915033288325,6.854264870905262,18020267.0,16.70700762690484,0.539,1,1
MLI,2015,838.11986940103,6.731161132497182,18593022.0,16.738296907002503,0.542,1,1
MLI,2016,872.468587171653,6.771326650186792,19191289.0,16.7699670361293,0.542,1,1
MLI,2017,924.057531692284,6.8287743334396165,19813011.0,16.80184940106728,0.532,1,1
MLI,2018,996.379292136901,6.904128000491313,20442030.0,16.833103633436856,0.512,1,1
MLI,2019,971.949318638092,6.879303661782198,21068405.0,16.863285082867517,0.51,1,1
MLI,2020,953.242943290974,6.85986979592084,21713836.0,16.893460219014454,0.431,1,1
MLI,2021,1027.27345365357,6.934663438998207,22388630.0,16.924063798672503,0.244,1,1
MLI,2022,976.914116406452,6.884398742760709,23072640.0,16.954158057933128,0.232,1,2
MLI,2023,1043.9533853528,6.9507701174005305,23769127.0,16.98389811169516,0.231,1,1
MLI,2024,1094.61949265799,6.998162086570615,24478595.0,17.013309620170464,0.199,1,1
MLT,1992,8220.33403924666,9.014366124602489,367618.0,12.814799634532543,0.773,0,0
MLT,1993,7296.35111127489,8.895129654400378,371308.0,12.824787185852802,0.779,0,0
