Id,Label,case_study,journalist_killings_total,colonial_tie_flag,armed_conflict_pct,gdp_per_capita_log_mean,population_log_mean
NLD,NLD,,1,0,0.0,10.630913213495518,16.61796043003479
NRU,NRU,,0,1,0.0,8.574768867769553,9.26420000935077
NZL,NZL,,0,1,0.0,10.221394824818926,15.267400776581836
PAK,PAK,,104,1,0.9393939393939394,6.759752120568175,19.030005180786077
PAN,PAN,,1,1,0.0,8.909093529616143,15.059581038066304
PER,PER,,17,1,0.36363636363636365,8.232053809420266,17.167300898863285
PHL,PHL,PHL,159,1,1.0,7.511874974702237,18.328667835865666
PLW,PLW,,0,1,0.0,9.242693977899187,9.808131322590828
PNG,PNG,,1,1,0.15151515151515152,7.2767688678198805,15.759510126841574
PRT,PRT,,0,0,0.0,9.783140031673872,16.152042008110282
PRY,PRY,,10,1,0.0,8.107036073294635,15.536277127179556
QAT,QAT,,0,1,0.0,10.737126311414297,14.108114172274814
RWA,RWA,,24,1,0.6060606060606061,6.086049675444157,16.09885932998745
SDN,SDN,,9,1,0.9696969696969697,6.560588477465136,17.3406461283907
SEN,SEN,,0,1,0.2727272727272727,6.966275037061338,16.318153920191868
SGP,SGP,,0,1,0.0,10.572504327087046,15.35061151924746
SLB,SLB,,0,1,0.0,7.2772881302886,13.184574399996782
SLE,SLE,,18,1,0.30303030303030304,6.185157064329123,15.578576341079618
SLV,SLV,,6,1,0.0,7.9133037268573885,15.612798282712124
SOM,SOM,,86,1,0.7878787878787878,5.8667784240671725,16.240205442318096
STP,STP,,0,1,0.0,7.003738220435675,12.059073403631906
SUR,SUR,,0,1,0.0,8.272136579488837,13.17497021610322
SWZ,SWZ,,0,1,0.0,7.872113214790075,13.904371235981884
SYC,SYC,,0,1,0.0,9.26433870062184,11.342468930760825
SYR,SYR,,161,1,0.42424242424242425,7.0655780793400265,16.751317000564462
TCD,TCD,,6,1,0.7272727272727273,6.3284118602631505,16.246309550386357
TGO,TGO,,0,1,0.09090909090909091,6.447360307906171,15.660640718856492
TLS,TLS,,2,1,0.0,6.565383825067893,13.856829987025808
TON,TON,,0,1,0.0,7.9768565879254485,11.556075641908098
TTO,TTO,,0,1,0.0,9.112993680967024,14.090300842983867
TUN,TUN,,1,1,0.12121212121212122,8.03796116700235,16.170836327380584
TUV,TUV,,0,1,0.0,7.858590900930566,9.21453807645519
TZA,TZA,,2,1,0.030303030303030304,6.394114734134466,17.576249195768096
UGA,UGA,,5,1,0.7575757575757576,6.154907404698925,17.236726080525585
URY,URY,,1,1,0.0,9.153186855541941,15.008531736165613
USA,USA,,17,1,0.5757575757575758,10.7360235233649,19.522324084385794
VCT,VCT,,0,1,0.0,8.60646557362727,11.601999531998565
VEN,VEN,,10,1,0.030303030303030304,8.424281389648657,17.09788168048798
VNM,VNM,,1,1,0.0,6.958395043356485,18.254230584807956
VUT,VUT,,0,1,0.0,7.696138861859693,12.328281745917065
WSM,WSM,,0,1,0.0,7.845734657028159,12.165613836189408
YEM,YEM,,36,1,0.5151515151515151,6.683610657109115,17.03489844976803
ZAF,ZAF,,5,1,0.0,8.54569349406569,17.763233171067245
ZMB,ZMB,,1,1,0.0,6.71369301658601,16.385157677383486
ZWE,ZWE,,1,1,0.0,6.843422717264571,16.391324483612273
