donor,recipient,year,aid_amount,recipient_iso3
World Bank - International Development Association (IDA),Nigeria,2012,1441141241,NGA
World Bank - International Development Association (IDA),Nigeria,2013,1032245379,NGA
World Bank - International Development Association (IDA),Pakistan,1990,279807910,PAK
World Bank - International Development Association (IDA),Pakistan,1991,393096827,PAK
World Bank - International Development Association (IDA),Pakistan,1992,296923663,PAK
World Bank - International Development Association (IDA),Pakistan,1993,801564494,PAK
World Bank - International Development Association (IDA),Pakistan,1994,316384226,PAK
World Bank - International Development Association (IDA),Pakistan,1995,356651480,PAK
World Bank - International Development Association (IDA),Pakistan,1996,185092899,PAK
World Bank - International Development Association (IDA),Pakistan,1997,464407468,PAK
World Bank - International Development Association (IDA),Pakistan,1998,383380287,PAK
World Bank - International Development Association (IDA),Pakistan,1999,135734181,PAK
World Bank - International Development Association (IDA),Pakistan,2001,1096990684,PAK
World Bank - International Development Association (IDA),Pakistan,2002,1152632900,PAK
World Bank - International Development Association (IDA),Pakistan,2003,613715420,PAK
World Bank - International Development Association (IDA),Pakistan,2004,928410398,PAK
World Bank - International Development Association (IDA),Pakistan,2005,1243939274,PAK
World Bank - International Development Association (IDA),Pakistan,2006,366803523,PAK
World Bank - International Development Association (IDA),Pakistan,2007,1221211603,PAK
World Bank - International Development Association (IDA),Pakistan,2008,152690555,PAK
World Bank - International Development Association (IDA),Pakistan,2009,2217862690,PAK
World Bank - International Development Association (IDA),Pakistan,2010,729737110,PAK
World Bank - International Development Association (IDA),Pakistan,2011,695000000,PAK
World Bank - International Development Association (IDA),Pakistan,2012,1567866559,PAK
World Bank - International Development Association (IDA),Pakistan,2013,540699961,PAK
World Bank - International Development Association (IDA),Papua New Guinea,2007,71303997,PNG
World Bank - International Development Association (IDA),Papua New Guinea,2008,17766868,PNG
World Bank - International Development Association (IDA),Papua New Guinea,2009,26919991,PNG
World Bank - International Development Association (IDA),Papua New Guinea,2010,42612386,PNG
World Bank - International Development Association (IDA),Papua New Guinea,2011,91710000,PNG
World Bank - International Development Association (IDA),Papua New Guinea,2013,7176563,PNG
World Bank - International Development Association (IDA),Philippines,1991,104194340,PHL
World Bank - International Development Association (IDA),Philippines,1992,53877278,PHL
World Bank - International Development Association (IDA),Philippines,1993,107592550,PHL
World Bank - International Development Association (IDA),Rwanda,1990,93432647,RWA
World Bank - International Development Association (IDA),Rwanda,1991,209809512,RWA
World Bank - International Development Association (IDA),Rwanda,1992,28584889,RWA
World Bank - International Development Association (IDA),Rwanda,1993,81462930,RWA
World Bank - International Development Association (IDA),Rwanda,1995,66863795,RWA
World Bank - International Development Association (IDA),Rwanda,1997,143335639,RWA
World Bank - International Development Association (IDA),Rwanda,1998,7667606,RWA
World Bank - International Development Association (IDA),Rwanda,1999,120652606,RWA
World Bank - International Development Association (IDA),Rwanda,2000,120569429,RWA
World Bank - International Development Association (IDA),Rwanda,2001,156654857,RWA
World Bank - International Development Association (IDA),Rwanda,2002,172151553,RWA
World Bank - International Development Association (IDA),Rwanda,2003,41713064,RWA
World Bank - International Development Association (IDA),Rwanda,2004,131157877,RWA
World Bank - International Development Association (IDA),Rwanda,2005,121478445,RWA
World Bank - International Development Association (IDA),Rwanda,2006,71293201,RWA
World Bank - International Development Association (IDA),Rwanda,2007,23104211,RWA
World Bank - International Development Association (IDA),Rwanda,2008,116007197,RWA
World Bank - International Development Association (IDA),Rwanda,2009,204591933,RWA
World Bank - International Development Association (IDA),Rwanda,2010,129754715,RWA
World Bank - International Development Association (IDA),Rwanda,2011,265400000,RWA
World Bank - International Development Association (IDA),Rwanda,2012,127759661,RWA
World Bank - International Development Association (IDA),Rwanda,2013,303086907,RWA
World Bank - International Development Association (IDA),Samoa,1990,22868130,WSM
World Bank - International Development Association (IDA),Samoa,1993,9375922,WSM
World Bank - International Development Association (IDA),Samoa,1999,21717469,WSM
World Bank - International Development Association (IDA),Samoa,2000,7798799,WSM
World Bank - International Development Association (IDA),Samoa,2002,7011263,WSM
World Bank - International Development Association (IDA),Samoa,2003,17505810,WSM
World Bank - International Development Association (IDA),Samoa,2004,5621052,WSM
World Bank - International Development Association (IDA),Samoa,2007,9098659,WSM
World Bank - International Development Association (IDA),Samoa,2008,3135330,WSM
World Bank - International Development Association (IDA),Samoa,2010,43677695,WSM
World Bank - International Development Association (IDA),Samoa,2012,8176619,WSM
World Bank - International Development Association (IDA),Samoa,2013,39323633,WSM
World Bank - International Development Association (IDA),Sao Tome & Principe,1990,16007691,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,1991,24943494,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,1992,17061138,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2000,15597597,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2004,14364910,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2008,6270659,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2009,2153599,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2010,2237150,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2011,4700000,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2012,4325669,STP
World Bank - International Development Association (IDA),Sao Tome & Principe,2013,6316330,STP
World Bank - International Development Association (IDA),Senegal,1990,207609956,SEN
World Bank - International Development Association (IDA),Senegal,1991,157870212,SEN
World Bank - International Development Association (IDA),Senegal,1992,65401029,SEN
World Bank - International Development Association (IDA),Senegal,1993,61481457,SEN
World Bank - International Development Association (IDA),Senegal,1994,47008183,SEN
World Bank - International Development Association (IDA),Senegal,1995,292194782,SEN
World Bank - International Development Association (IDA),Senegal,1996,56919546,SEN
World Bank - International Development Association (IDA),Senegal,1997,256797112,SEN
World Bank - International Development Association (IDA),Senegal,1998,153352115,SEN
World Bank - International Development Association (IDA),Senegal,1999,192365497,SEN
World Bank - International Development Association (IDA),Senegal,2000,437668592,SEN
World Bank - International Development Association (IDA),Senegal,2001,203342234,SEN
World Bank - International Development Association (IDA),Senegal,2002,69956132,SEN
World Bank - International Development Association (IDA),Senegal,2003,62911506,SEN
World Bank - International Development Association (IDA),Senegal,2004,168506643,SEN
World Bank - International Development Association (IDA),Senegal,2005,19072116,SEN
World Bank - International Development Association (IDA),Senegal,2006,308996618,SEN
World Bank - International Development Association (IDA),Senegal,2007,22004011,SEN
World Bank - International Development Association (IDA),Senegal,2008,87266676,SEN
World Bank - International Development Association (IDA),Senegal,2009,209975931,SEN
World Bank - International Development Association (IDA),Senegal,2010,139555564,SEN
World Bank - International Development Association (IDA),Senegal,2011,175200000,SEN
World Bank - International Development Association (IDA),Senegal,2012,271464753,SEN
World Bank - International Development Association (IDA),Senegal,2013,244298072,SEN
World Bank - International Development Association (IDA),Serbia and Montenegro,2002,335319925,SRB
World Bank - International Development Association (IDA),Serbia and Montenegro,2003,259509963,SRB
World Bank - International Development Association (IDA),Serbia and Montenegro,2004,226091195,SRB
World Bank - International Development Association (IDA),Serbia and Montenegro,2005,159136762,SRB
World Bank - International Development Association (IDA),Serbia and Montenegro,2006,10693980,SRB
World Bank - International Development Association (IDA),Serbia and Montenegro,2007,42907820,SRB
World Bank - International Development Association (IDA),Sierra Leone,1992,179141947,SLE
World Bank - International Development Association (IDA),Sierra Leone,1993,116814768,SLE
World Bank - International Development Association (IDA),Sierra Leone,1994,736805,SLE
World Bank - International Development Association (IDA),Sierra Leone,1995,48543115,SLE
World Bank - International Development Association (IDA),Sierra Leone,1996,76750928,SLE
World Bank - International Development Association (IDA),Sierra Leone,1999,37703939,SLE
World Bank - International Development Association (IDA),Sierra Leone,2000,62390391,SLE
World Bank - International Development Association (IDA),Sierra Leone,2001,87030477,SLE
World Bank - International Development Association (IDA),Sierra Leone,2002,23475212,SLE
World Bank - International Development Association (IDA),Sierra Leone,2003,143602351,SLE
World Bank - International Development Association (IDA),Sierra Leone,2004,75097253,SLE
World Bank - International Development Association (IDA),Sierra Leone,2005,90744399,SLE
World Bank - International Development Association (IDA),Sierra Leone,2006,11882200,SLE
World Bank - International Development Association (IDA),Sierra Leone,2007,41807620,SLE
World Bank - International Development Association (IDA),Sierra Leone,2008,21947308,SLE
World Bank - International Development Association (IDA),Sierra Leone,2009,40918387,SLE
World Bank - International Development Association (IDA),Sierra Leone,2010,39416457,SLE
World Bank - International Development Association (IDA),Sierra Leone,2011,30000000,SLE
World Bank - International Development Association (IDA),Sierra Leone,2012,41905170,SLE
World Bank - International Development Association (IDA),Sierra Leone,2013,63900903,SLE
World Bank - International Development Association (IDA),Solomon Islands,1993,25975916,SLB
World Bank - International Development Association (IDA),Solomon Islands,1999,18097891,SLB
World Bank - International Development Association (IDA),Solomon Islands,2000,6239039,SLB
World Bank - International Development Association (IDA),Solomon Islands,2007,3520642,SLB
World Bank - International Development Association (IDA),Solomon Islands,2008,5748105,SLB
World Bank - International Development Association (IDA),Solomon Islands,2010,10067176,SLB
World Bank - International Development Association (IDA),Solomon Islands,2012,2044155,SLB
World Bank - International Development Association (IDA),Solomon Islands,2013,4915454,SLB
World Bank - International Development Association (IDA),Somalia,1990,42632729,SOM
World Bank - International Development Association (IDA),South Sudan,2013,69799449,SSD
World Bank - International Development Association (IDA),Sri Lanka,1990,431064258,LKA
World Bank - International Development Association (IDA),Sri Lanka,1991,385676928,LKA
World Bank - International Development Association (IDA),Sri Lanka,1992,66448642,LKA
World Bank - International Development Association (IDA),Sri Lanka,1993,122962913,LKA
World Bank - International Development Association (IDA),Sri Lanka,1995,52153760,LKA
World Bank - International Development Association (IDA),Sri Lanka,1996,243404121,LKA
World Bank - International Development Association (IDA),Sri Lanka,1997,164911424,LKA
World Bank - International Development Association (IDA),Sri Lanka,1998,87410705,LKA
World Bank - International Development Association (IDA),Sri Lanka,1999,84456824,LKA
World Bank - International Development Association (IDA),Sri Lanka,2000,28387628,LKA
World Bank - International Development Association (IDA),Sri Lanka,2001,60677322,LKA
World Bank - International Development Association (IDA),Sri Lanka,2002,160570449,LKA
World Bank - International Development Association (IDA),Sri Lanka,2003,280503259,LKA
World Bank - International Development Association (IDA),Sri Lanka,2004,379358542,LKA
World Bank - International Development Association (IDA),Sri Lanka,2005,285474345,LKA
World Bank - International Development Association (IDA),Sri Lanka,2007,79214439,LKA
World Bank - International Development Association (IDA),Sri Lanka,2008,249812617,LKA
World Bank - International Development Association (IDA),Sri Lanka,2009,265969513,LKA
World Bank - International Development Association (IDA),Sri Lanka,2010,176202216,LKA
World Bank - International Development Association (IDA),Sri Lanka,2011,115000000,LKA
World Bank - International Development Association (IDA),Sri Lanka,2012,11242851,LKA
World Bank - International Development Association (IDA),Sri Lanka,2013,173023986,LKA
World Bank - International Development Association (IDA),St. Kitts & Nevis,1991,2368053,KNA
World Bank - International Development Association (IDA),St. Lucia,1990,8493877,LCA
World Bank - International Development Association (IDA),St. Lucia,1995,8109241,LCA
World Bank - International Development Association (IDA),St. Lucia,1998,4600563,LCA
World Bank - International Development Association (IDA),St. Lucia,1999,2262236,LCA
World Bank - International Development Association (IDA),St. Lucia,2001,2114759,LCA
World Bank - International Development Association (IDA),St. Lucia,2002,16291797,LCA
World Bank - International Development Association (IDA),St. Lucia,2004,8706384,LCA
World Bank - International Development Association (IDA),St. Lucia,2005,4676920,LCA
World Bank - International Development Association (IDA),St. Lucia,2007,5875071,LCA
World Bank - International Development Association (IDA),St. Lucia,2008,3135330,LCA
World Bank - International Development Association (IDA),St. Lucia,2010,8522477,LCA
World Bank - International Development Association (IDA),St. Lucia,2011,15000000,LCA
World Bank - International Development Association (IDA),St. Lucia,2012,6132464,LCA
World Bank - International Development Association (IDA),St.Vincent & Grenadines,2002,8059823,VCT
World Bank - International Development Association (IDA),St.Vincent & Grenadines,2004,8244209,VCT
World Bank - International Development Association (IDA),St.Vincent & Grenadines,2011,5000000,VCT
World Bank - International Development Association (IDA),St.Vincent & Grenadines,2012,6132464,VCT
World Bank - International Development Association (IDA),Sudan,1991,25259234,SDN
World Bank - International Development Association (IDA),Tajikistan,1996,76542177,TJK
World Bank - International Development Association (IDA),Tajikistan,1997,33163340,TJK
World Bank - International Development Association (IDA),Tajikistan,1998,99648204,TJK
World Bank - International Development Association (IDA),Tajikistan,1999,60929566,TJK
World Bank - International Development Association (IDA),Tajikistan,2000,40350985,TJK
World Bank - International Development Association (IDA),Tajikistan,2001,86379781,TJK
World Bank - International Development Association (IDA),Tajikistan,2002,63852576,TJK
World Bank - International Development Association (IDA),Tajikistan,2003,27352829,TJK
World Bank - International Development Association (IDA),Tajikistan,2004,13490524,TJK
World Bank - International Development Association (IDA),Tajikistan,2005,61954006,TJK
World Bank - International Development Association (IDA),Tajikistan,2006,48717020,TJK
World Bank - International Development Association (IDA),Tajikistan,2007,27505013,TJK
World Bank - International Development Association (IDA),Tajikistan,2008,9405989,TJK
World Bank - International Development Association (IDA),Tajikistan,2009,32303989,TJK
World Bank - International Development Association (IDA),Tajikistan,2010,59018154,TJK
World Bank - International Development Association (IDA),Tajikistan,2011,35200000,TJK
World Bank - International Development Association (IDA),Tajikistan,2012,108186883,TJK
World Bank - International Development Association (IDA),Tajikistan,2013,14746362,TJK
World Bank - International Development Association (IDA),Tanzania,1990,848407637,TZA
World Bank - International Development Association (IDA),Tanzania,1991,540705476,TZA
World Bank - International Development Association (IDA),Tanzania,1992,89196826,TZA
World Bank - International Development Association (IDA),Tanzania,1993,513139609,TZA
World Bank - International Development Association (IDA),Tanzania,1994,269228682,TZA
World Bank - International Development Association (IDA),Tanzania,1995,14576307,TZA
World Bank - International Development Association (IDA),Tanzania,1996,240064099,TZA
World Bank - International Development Association (IDA),Tanzania,1997,229940539,TZA
World Bank - International Development Association (IDA),Tanzania,1998,33430761,TZA
World Bank - International Development Association (IDA),Tanzania,1999,240098685,TZA
World Bank - International Development Association (IDA),Tanzania,2000,424254657,TZA
World Bank - International Development Association (IDA),Tanzania,2001,585739505,TZA
World Bank - International Development Association (IDA),Tanzania,2002,90270014,TZA
World Bank - International Development Association (IDA),Tanzania,2003,527184747,TZA
World Bank - International Development Association (IDA),Tanzania,2004,838773356,TZA
World Bank - International Development Association (IDA),Tanzania,2005,359576196,TZA
World Bank - International Development Association (IDA),Tanzania,2006,540640113,TZA
World Bank - International Development Association (IDA),Tanzania,2007,704678449,TZA
World Bank - International Development Association (IDA),Tanzania,2008,470299450,TZA
World Bank - International Development Association (IDA),Tanzania,2009,1076799644,TZA
World Bank - International Development Association (IDA),Tanzania,2010,713757465,TZA
World Bank - International Development Association (IDA),Tanzania,2011,568000000,TZA
World Bank - International Development Association (IDA),Tanzania,2012,643908692,TZA
World Bank - International Development Association (IDA),Tanzania,2013,668462446,TZA
World Bank - International Development Association (IDA),Timor-Leste,2003,5470566,TLS
World Bank - International Development Association (IDA),Timor-Leste,2004,6195648,TLS
World Bank - International Development Association (IDA),Timor-Leste,2005,607392,TLS
World Bank - International Development Association (IDA),Timor-Leste,2006,8317540,TLS
World Bank - International Development Association (IDA),Timor-Leste,2007,10451905,TLS
World Bank - International Development Association (IDA),Timor-Leste,2008,2194731,TLS
World Bank - International Development Association (IDA),Timor-Leste,2010,10653096,TLS
World Bank - International Development Association (IDA),Timor-Leste,2011,20000000,TLS
World Bank - International Development Association (IDA),Timor-Leste,2013,24577271,TLS
World Bank - International Development Association (IDA),Togo,1990,129368281,TGO
World Bank - International Development Association (IDA),Togo,1991,22417570,TGO
World Bank - International Development Association (IDA),Togo,1994,38608601,TGO
World Bank - International Development Association (IDA),Togo,1995,48944298,TGO
World Bank - International Development Association (IDA),Togo,1996,69583797,TGO
World Bank - International Development Association (IDA),Togo,1997,114970270,TGO
World Bank - International Development Association (IDA),Togo,1998,46005634,TGO
World Bank - International Development Association (IDA),Togo,1999,7540788,TGO
World Bank - International Development Association (IDA),Togo,2008,200870121,TGO
World Bank - International Development Association (IDA),Togo,2009,61377580,TGO
World Bank - International Development Association (IDA),Togo,2010,26632741,TGO
World Bank - International Development Association (IDA),Togo,2011,50000000,TGO
World Bank - International Development Association (IDA),Togo,2012,28618164,TGO
World Bank - International Development Association (IDA),Togo,2013,57019269,TGO
World Bank - International Development Association (IDA),Tonga,1990,4900314,TON
World Bank - International Development Association (IDA),Tonga,2002,9155333,TON
World Bank - International Development Association (IDA),Tonga,2003,14961997,TON
World Bank - International Development Association (IDA),Tonga,2005,1214784,TON
World Bank - International Development Association (IDA),Tonga,2008,5685398,TON
World Bank - International Development Association (IDA),Tonga,2010,10653096,TON
World Bank - International Development Association (IDA),Tonga,2011,66210000,TON
World Bank - International Development Association (IDA),Tonga,2012,1839739,TON
World Bank - International Development Association (IDA),Tonga,2013,4915454,TON
World Bank - International Development Association (IDA),Tuvalu,2011,11850000,TUV
World Bank - International Development Association (IDA),Tuvalu,2013,8906804,TUV
World Bank - International Development Association (IDA),Uganda,1990,548835130,UGA
World Bank - International Development Association (IDA),Uganda,1991,546073063,UGA
World Bank - International Development Association (IDA),Uganda,1992,213174427,UGA
World Bank - International Development Association (IDA),Uganda,1993,234551758,UGA
World Bank - International Development Association (IDA),Uganda,1994,387559624,UGA
World Bank - International Development Association (IDA),Uganda,1995,141082606,UGA
World Bank - International Development Association (IDA),Uganda,1996,41750278,UGA
World Bank - International Development Association (IDA),Uganda,1997,233863410,UGA
World Bank - International Development Association (IDA),Uganda,1998,236162257,UGA
World Bank - International Development Association (IDA),Uganda,1999,403160683,UGA
World Bank - International Development Association (IDA),Uganda,2000,166738319,UGA
World Bank - International Development Association (IDA),Uganda,2001,748575965,UGA
World Bank - International Development Association (IDA),Uganda,2002,448376546,UGA
World Bank - International Development Association (IDA),Uganda,2003,430259997,UGA
World Bank - International Development Association (IDA),Uganda,2004,409212574,UGA
World Bank - International Development Association (IDA),Uganda,2006,279231707,UGA
World Bank - International Development Association (IDA),Uganda,2007,578265406,UGA
World Bank - International Development Association (IDA),Uganda,2008,240375274,UGA
World Bank - International Development Association (IDA),Uganda,2009,554551816,UGA
World Bank - International Development Association (IDA),Uganda,2010,372858377,UGA
World Bank - International Development Association (IDA),Uganda,2011,320000000,UGA
World Bank - International Development Association (IDA),Uganda,2012,240188163,UGA
World Bank - International Development Association (IDA),Uganda,2013,257569798,UGA
World Bank - International Development Association (IDA),Uzbekistan,2002,31300282,UZB
World Bank - International Development Association (IDA),Uzbekistan,2003,34191036,UZB
World Bank - International Development Association (IDA),Uzbekistan,2004,49964905,UZB
World Bank - International Development Association (IDA),Uzbekistan,2006,17823300,UZB
World Bank - International Development Association (IDA),Uzbekistan,2008,71025668,UZB
World Bank - International Development Association (IDA),Uzbekistan,2009,143795825,UZB
World Bank - International Development Association (IDA),Uzbekistan,2010,26632741,UZB
World Bank - International Development Association (IDA),Uzbekistan,2011,201000000,UZB
World Bank - International Development Association (IDA),Uzbekistan,2012,124693430,UZB
World Bank - International Development Association (IDA),Uzbekistan,2013,189736532,UZB
World Bank - International Development Association (IDA),Vanuatu,1991,5367587,VUT
World Bank - International Development Association (IDA),Vanuatu,2001,5693583,VUT
World Bank - International Development Association (IDA),Viet Nam,1993,351212823,VNM
World Bank - International Development Association (IDA),Viet Nam,1994,362508242,VNM
World Bank - International Development Association (IDA),Viet Nam,1995,419904630,VNM
World Bank - International Development Association (IDA),Viet Nam,1996,707249709,VNM
World Bank - International Development Association (IDA),Viet Nam,1997,586484167,VNM
World Bank - International Development Association (IDA),Viet Nam,1998,654660178,VNM
World Bank - International Development Association (IDA),Viet Nam,1999,479594109,VNM
World Bank - International Development Association (IDA),Viet Nam,2000,405537541,VNM
World Bank - International Development Association (IDA),Viet Nam,2001,1055687808,VNM
World Bank - International Development Association (IDA),Viet Nam,2002,724914540,VNM
World Bank - International Development Association (IDA),Viet Nam,2003,708916940,VNM
World Bank - International Development Association (IDA),Viet Nam,2004,1071010235,VNM
World Bank - International Development Association (IDA),Viet Nam,2005,987887007,VNM
World Bank - International Development Association (IDA),Viet Nam,2006,476416821,VNM
World Bank - International Development Association (IDA),Viet Nam,2007,904705910,VNM
World Bank - International Development Association (IDA),Viet Nam,2008,1125834178,VNM
World Bank - International Development Association (IDA),Viet Nam,2009,1471985112,VNM
World Bank - International Development Association (IDA),Viet Nam,2010,994551781,VNM
World Bank - International Development Association (IDA),Viet Nam,2011,2323200000,VNM
World Bank - International Development Association (IDA),Viet Nam,2012,1544256577,VNM
World Bank - International Development Association (IDA),Viet Nam,2013,1463330712,VNM
World Bank - International Development Association (IDA),Yemen,1990,142925815,YEM
World Bank - International Development Association (IDA),Yemen,1991,126296170,YEM
World Bank - International Development Association (IDA),Yemen,1992,78571030,YEM
World Bank - International Development Association (IDA),Yemen,1993,40885169,YEM
World Bank - International Development Association (IDA),Yemen,1994,48629154,YEM
World Bank - International Development Association (IDA),Yemen,1995,32495804,YEM
World Bank - International Development Association (IDA),Yemen,1996,253563356,YEM
World Bank - International Development Association (IDA),Yemen,1997,224418345,YEM
World Bank - International Development Association (IDA),Yemen,1998,91704565,YEM
World Bank - International Development Association (IDA),Yemen,1999,208729009,YEM
World Bank - International Development Association (IDA),Yemen,2000,360616458,YEM
World Bank - International Development Association (IDA),Yemen,2001,146731756,YEM
World Bank - International Development Association (IDA),Yemen,2002,254361746,YEM
World Bank - International Development Association (IDA),Yemen,2003,64826205,YEM
World Bank - International Development Association (IDA),Yemen,2004,262315752,YEM
World Bank - International Development Association (IDA),Yemen,2005,78960989,YEM
World Bank - International Development Association (IDA),Yemen,2006,83175402,YEM
World Bank - International Development Association (IDA),Yemen,2007,89039230,YEM
World Bank - International Development Association (IDA),Yemen,2008,124200859,YEM
World Bank - International Development Association (IDA),Yemen,2009,253047917,YEM
World Bank - International Development Association (IDA),Yemen,2010,236498741,YEM
World Bank - International Development Association (IDA),Yemen,2011,96000000,YEM
World Bank - International Development Association (IDA),Yemen,2012,62346713,YEM
World Bank - International Development Association (IDA),Yemen,2013,251671255,YEM
World Bank - International Development Association (IDA),Zambia,1991,439194930,ZMB
World Bank - International Development Association (IDA),Zambia,1992,457807198,ZMB
World Bank - International Development Association (IDA),Zambia,1993,209805472,ZMB
World Bank - International Development Association (IDA),Zambia,1994,392717261,ZMB
World Bank - International Development Association (IDA),Zambia,1995,367884597,ZMB
World Bank - International Development Association (IDA),Zambia,1996,168114452,ZMB
World Bank - International Development Association (IDA),Zambia,1997,192824153,ZMB
World Bank - International Development Association (IDA),Zambia,1998,115014086,ZMB
World Bank - International Development Association (IDA),Zambia,1999,320935931,ZMB
World Bank - International Development Association (IDA),Zambia,2000,514564749,ZMB
World Bank - International Development Association (IDA),Zambia,2001,65069515,ZMB
World Bank - International Development Association (IDA),Zambia,2002,166204500,ZMB
World Bank - International Development Association (IDA),Zambia,2003,68382072,ZMB
World Bank - International Development Association (IDA),Zambia,2004,147583839,ZMB
World Bank - International Development Association (IDA),Zambia,2005,24295689,ZMB
World Bank - International Development Association (IDA),Zambia,2006,107177447,ZMB
World Bank - International Development Association (IDA),Zambia,2007,71513036,ZMB
World Bank - International Development Association (IDA),Zambia,2008,44939725,ZMB
World Bank - International Development Association (IDA),Zambia,2009,118447960,ZMB
World Bank - International Development Association (IDA),Zambia,2010,69245127,ZMB
World Bank - International Development Association (IDA),Zambia,2011,75000000,ZMB
World Bank - International Development Association (IDA),Zambia,2012,143090820,ZMB
World Bank - International Development Association (IDA),Zambia,2013,181675187,ZMB
World Bank - International Development Association (IDA),Zimbabwe,1992,299318208,ZWE
World Bank - International Development Association (IDA),Zimbabwe,1993,291268402,ZWE
World Bank - International Development Association (IDA),Zimbabwe,1996,97417315,ZWE
World Bank - International Development Association (IDA),Zimbabwe,1997,18482753,ZWE
World Bank - International Development Association (IDA),Zimbabwe,1998,201351327,ZWE
World Bank - International Development Association (IDA),Zimbabwe,1999,7540788,ZWE
World Bank - International Finance Corporation (IFC),Albania,1996,2783352,ALB
World Bank - International Finance Corporation (IFC),Albania,1997,2263194,ALB
World Bank - International Finance Corporation (IFC),Albania,1998,166387044,ALB
World Bank - International Finance Corporation (IFC),Albania,1999,3514007,ALB
World Bank - International Finance Corporation (IFC),Albania,2000,3509459,ALB
World Bank - International Finance Corporation (IFC),Albania,2001,44735292,ALB
World Bank - International Finance Corporation (IFC),Albania,2002,35995325,ALB
World Bank - International Finance Corporation (IFC),Algeria,1992,14965910,DZA
World Bank - International Finance Corporation (IFC),Algeria,1998,4600563,DZA
World Bank - International Finance Corporation (IFC),Algeria,1999,22939077,DZA
World Bank - International Finance Corporation (IFC),Algeria,2000,779880,DZA
World Bank - International Finance Corporation (IFC),Algeria,2001,7645668,DZA
World Bank - International Finance Corporation (IFC),Algeria,2002,86075776,DZA
World Bank - International Finance Corporation (IFC),Angola,1996,2087514,AGO
World Bank - International Finance Corporation (IFC),Angola,1997,9927879,AGO
World Bank - International Finance Corporation (IFC),Angola,1998,935448,AGO
World Bank - International Finance Corporation (IFC),Argentina,1990,112837890,ARG
World Bank - International Finance Corporation (IFC),Argentina,1991,164500760,ARG
World Bank - International Finance Corporation (IFC),Argentina,1992,561520959,ARG
World Bank - International Finance Corporation (IFC),Argentina,1993,589760877,ARG
World Bank - International Finance Corporation (IFC),Argentina,1994,1058641955,ARG
World Bank - International Finance Corporation (IFC),Argentina,1995,1067413616,ARG
World Bank - International Finance Corporation (IFC),Argentina,1996,2211233890,ARG
World Bank - International Finance Corporation (IFC),Argentina,1997,661003613,ARG
World Bank - International Finance Corporation (IFC),Argentina,1998,344352174,ARG
World Bank - International Finance Corporation (IFC),Argentina,1999,1177343209,ARG
World Bank - International Finance Corporation (IFC),Argentina,2000,1870151965,ARG
World Bank - International Finance Corporation (IFC),Argentina,2001,210939099,ARG
World Bank - International Finance Corporation (IFC),Argentina,2002,226927047,ARG
World Bank - International Finance Corporation (IFC),Armenia,2000,5615135,ARM
World Bank - International Finance Corporation (IFC),Armenia,2002,11377653,ARM
World Bank - International Finance Corporation (IFC),Azerbaijan,1997,8751018,AZE
World Bank - International Finance Corporation (IFC),Azerbaijan,1998,27542040,AZE
World Bank - International Finance Corporation (IFC),Azerbaijan,1999,328024272,AZE
World Bank - International Finance Corporation (IFC),Azerbaijan,2001,97604,AZE
World Bank - International Finance Corporation (IFC),Azerbaijan,2002,2738775,AZE
World Bank - International Finance Corporation (IFC),Bangladesh,1990,3756907,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1991,7104160,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1995,4011828,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1996,35348569,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1997,66221065,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1998,203498256,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,1999,1960605,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,2000,260245918,BGD
World Bank - International Finance Corporation (IFC),Bangladesh,2001,61409355,BGD
World Bank - International Finance Corporation (IFC),Barbados,1995,9360931,BRB
World Bank - International Finance Corporation (IFC),Belarus,1998,3450423,BLR
World Bank - International Finance Corporation (IFC),Belize,1990,1633438,BLZ
World Bank - International Finance Corporation (IFC),Belize,1993,39962947,BLZ
World Bank - International Finance Corporation (IFC),Belize,1998,9201127,BLZ
World Bank - International Finance Corporation (IFC),Belize,2000,15597598,BLZ
World Bank - International Finance Corporation (IFC),Belize,2001,9760427,BLZ
World Bank - International Finance Corporation (IFC),Benin,1991,631481,BEN
World Bank - International Finance Corporation (IFC),Benin,1992,8530569,BEN
World Bank - International Finance Corporation (IFC),Benin,1993,76852,BEN
World Bank - International Finance Corporation (IFC),Benin,1994,1326250,BEN
World Bank - International Finance Corporation (IFC),Benin,1995,200592,BEN
World Bank - International Finance Corporation (IFC),Benin,1997,512991,BEN
World Bank - International Finance Corporation (IFC),Benin,1999,377040,BEN
World Bank - International Finance Corporation (IFC),Benin,2000,2745177,BEN
