donor,recipient,year,aid_amount
Japan,Cameroon,2004,14182762
Japan,Cameroon,2005,28243952
Japan,Cameroon,2006,154904896
Japan,Cameroon,2007,26110616
Japan,Cameroon,2008,4292138
Japan,Cameroon,2009,73269859
Japan,Cameroon,2010,29059908
Japan,Cameroon,2011,56411522
Japan,Cameroon,2012,20159522
Japan,Cameroon,2013,26679745
Japan,Cape Verde,1990,3135033
Japan,Cape Verde,1991,15330313
Japan,Cape Verde,1992,9211583
Japan,Cape Verde,1993,3130194
Japan,Cape Verde,1994,2605498
Japan,Cape Verde,1995,3674348
Japan,Cape Verde,1996,2153614
Japan,Cape Verde,1997,1574172
Japan,Cape Verde,1998,10542200
Japan,Cape Verde,1999,8827606
Japan,Cape Verde,2000,4027992
Japan,Cape Verde,2001,12974990
Japan,Cape Verde,2002,7472069
Japan,Cape Verde,2003,4139904
Japan,Cape Verde,2004,9690648
Japan,Cape Verde,2005,1880682
Japan,Cape Verde,2006,3361735
Japan,Cape Verde,2007,6234977
Japan,Cape Verde,2008,58202790
Japan,Cape Verde,2009,16474718
Japan,Cape Verde,2010,11544054
Japan,Cape Verde,2011,5929362
Japan,Cape Verde,2012,82883830
Japan,Cape Verde,2013,127056470
Japan,Central African Republic,1990,17947245
Japan,Central African Republic,1991,3289629
Japan,Central African Republic,1992,34718969
Japan,Central African Republic,1993,3265835
Japan,Central African Republic,1994,60937378
Japan,Central African Republic,1995,24229701
Japan,Central African Republic,1996,25473873
Japan,Central African Republic,1997,7346136
Japan,Central African Republic,1998,27395021
Japan,Central African Republic,1999,12837254
Japan,Central African Republic,2000,29566766
Japan,Central African Republic,2001,16394509
Japan,Central African Republic,2002,8022722
Japan,Central African Republic,2003,788064
Japan,Central African Republic,2004,147626
Japan,Central African Republic,2005,186218
Japan,Central African Republic,2006,143163
Japan,Central African Republic,2007,7556831
Japan,Central African Republic,2008,11004521
Japan,Central African Republic,2009,21085462
Japan,Central African Republic,2010,6688713
Japan,Central African Republic,2011,27568091
Japan,Central African Republic,2012,12380341
Japan,Central African Republic,2013,4449602
Japan,"Central Asia, Regional Programs, Regional Programs",2007,515668
Japan,"Central Asia, Regional Programs, Regional Programs",2008,1309685
Japan,"Central Asia, Regional Programs, Regional Programs",2009,3682681
Japan,"Central Asia, Regional Programs, Regional Programs",2010,2941187
Japan,"Central Asia, Regional Programs, Regional Programs",2011,1196646
Japan,"Central Asia, Regional Programs, Regional Programs",2012,4457548
Japan,"Central Asia, Regional Programs, Regional Programs",2013,2965932
Japan,Chad,2003,346856
Japan,Chad,2004,931556
Japan,Chad,2005,2631148
Japan,Chad,2006,11735409
Japan,Chad,2007,13767487
Japan,Chad,2008,17808573
Japan,Chad,2009,15695552
Japan,Chad,2010,14831663
Japan,Chad,2011,20822792
Japan,Chad,2012,20387035
Japan,Chad,2013,5345182
Japan,Chile,1990,415092
Japan,Chile,1991,40391116
Japan,Chile,1992,256174222
Japan,Chile,1993,2545891
Japan,Chile,1994,16873203
Japan,Chile,1995,22035590
Japan,Chile,1996,1018744
Japan,Chile,1997,41768030
Japan,Chile,1999,623250
Japan,Chile,2000,773289
Japan,Chile,2001,5711917
Japan,Chile,2002,18136261
Japan,Chile,2003,14870219
Japan,Chile,2004,16657471
Japan,Chile,2005,15064763
Japan,Chile,2006,13110555
Japan,Chile,2007,14312004
Japan,Chile,2008,11517197
Japan,Chile,2009,11484479
Japan,Chile,2010,18504457
Japan,Chile,2011,4960186
Japan,Chile,2012,7644387
Japan,Chile,2013,3792003
Japan,China,1990,433038761
Japan,China,1991,2420794840
Japan,China,1992,1530610839
Japan,China,1993,1646836428
Japan,China,1994,81468701
Japan,China,1995,3095249704
Japan,China,1996,5968709092
Japan,China,1997,2835795297
Japan,China,1998,2489034315
Japan,China,1999,990837217
Japan,China,2000,2321631266
Japan,China,2001,2771000295
Japan,China,2002,1863070508
Japan,China,2003,1905782374
Japan,China,2004,1616006989
Japan,China,2005,1315119807
Japan,China,2006,1373515361
Japan,China,2007,1668569750
Japan,China,2008,352993221
Japan,China,2009,336896068
Japan,China,2010,394695930
Japan,China,2011,305563229
Japan,China,2012,139220881
Japan,China,2013,22442649
Japan,Colombia,1990,2206539
Japan,Colombia,1991,90289156
Japan,Colombia,1992,628777
Japan,Colombia,1993,2577193
Japan,Colombia,1994,656586
Japan,Colombia,1995,1049814
Japan,Colombia,1996,324984552
Japan,Colombia,1997,524724
Japan,Colombia,1998,1176022
Japan,Colombia,1999,276866697
Japan,Colombia,2000,7129761
Japan,Colombia,2001,2679368
Japan,Colombia,2002,2847955
Japan,Colombia,2003,83332143
Japan,Colombia,2004,10076455
Japan,Colombia,2005,16627909
Japan,Colombia,2006,12854557
Japan,Colombia,2007,21191182
Japan,Colombia,2008,11326104
Japan,Colombia,2009,13302353
Japan,Colombia,2010,14183004
Japan,Colombia,2011,12415639
Japan,Colombia,2012,11877622
Japan,Colombia,2013,7960781
Japan,Comoros,1990,5461730
Japan,Comoros,1991,3726118
Japan,Comoros,1992,3143884
Japan,Comoros,1993,3130194
Japan,Comoros,1994,2605498
Japan,Comoros,1997,5971359
Japan,Comoros,1998,1890036
Japan,Comoros,1999,1595351
Japan,Comoros,2003,3447
Japan,Comoros,2004,3986
Japan,Comoros,2005,43067
Japan,Comoros,2006,81922
Japan,Comoros,2007,19706
Japan,Comoros,2008,39175
Japan,Comoros,2009,5952496
Japan,Comoros,2010,756525
Japan,Comoros,2011,3683836
Japan,Comoros,2012,6799316
Japan,Comoros,2013,3709143
Japan,"Congo, Democratic Republic of",1990,96039069
Japan,"Congo, Democratic Republic of",1991,48535346
Japan,"Congo, Democratic Republic of",1994,479412
Japan,"Congo, Democratic Republic of",1995,535405
Japan,"Congo, Democratic Republic of",1996,337822
Japan,"Congo, Democratic Republic of",1999,74450
Japan,"Congo, Democratic Republic of",2000,301561
Japan,"Congo, Democratic Republic of",2001,98105
Japan,"Congo, Democratic Republic of",2002,915842
Japan,"Congo, Democratic Republic of",2003,823374
Japan,"Congo, Democratic Republic of",2004,63338395
Japan,"Congo, Democratic Republic of",2005,479772024
Japan,"Congo, Democratic Republic of",2006,38221268
Japan,"Congo, Democratic Republic of",2007,31912224
Japan,"Congo, Democratic Republic of",2008,80136605
Japan,"Congo, Democratic Republic of",2009,93956830
Japan,"Congo, Democratic Republic of",2010,181448674
Japan,"Congo, Democratic Republic of",2011,193569292
Japan,"Congo, Democratic Republic of",2012,67699582
Japan,"Congo, Democratic Republic of",2013,57312155
Japan,"Congo, Republic of",1991,5259149
Japan,"Congo, Republic of",1992,4170887
Japan,"Congo, Republic of",2003,132566
Japan,"Congo, Republic of",2004,355240
Japan,"Congo, Republic of",2005,221533
Japan,"Congo, Republic of",2006,550249
Japan,"Congo, Republic of",2007,11894450
Japan,"Congo, Republic of",2008,9679403
Japan,"Congo, Republic of",2009,436880
Japan,"Congo, Republic of",2010,6455130
Japan,"Congo, Republic of",2011,7216508
Japan,"Congo, Republic of",2012,5136227
Japan,"Congo, Republic of",2013,4955886
Japan,Cook Islands,1994,416880
Japan,Cook Islands,2003,245397
Japan,Cook Islands,2004,234007
Japan,Cook Islands,2005,227123
Japan,Cook Islands,2006,234785
Japan,Cook Islands,2007,133693
Japan,Cook Islands,2008,22304
Japan,Cook Islands,2009,54294
Japan,Cook Islands,2010,100575
Japan,Cook Islands,2011,66419
Japan,Cook Islands,2012,442142
Japan,Cook Islands,2013,252492
Japan,Costa Rica,1990,360475
Japan,Costa Rica,1991,15596464
Japan,Costa Rica,1992,890767
Japan,Costa Rica,1993,17748196
Japan,Costa Rica,1994,552366
Japan,Costa Rica,1995,587896
Japan,Costa Rica,1996,190024
Japan,Costa Rica,1998,567011
Japan,Costa Rica,1999,382884
Japan,Costa Rica,2000,1026384
Japan,Costa Rica,2001,182541532
Japan,Costa Rica,2002,1024935
Japan,Costa Rica,2003,8667854
Japan,Costa Rica,2004,8439453
Japan,Costa Rica,2005,10862389
Japan,Costa Rica,2006,187490342
Japan,Costa Rica,2007,10783643
Japan,Costa Rica,2008,7286453
Japan,Costa Rica,2009,8881165
Japan,Costa Rica,2010,27377395
Japan,Costa Rica,2011,7569594
Japan,Costa Rica,2012,6748524
Japan,Costa Rica,2013,4181921
Japan,Cote d`Ivoire,1990,108830442
Japan,Cote d`Ivoire,1991,46885208
Japan,Cote d`Ivoire,1992,34823765
Japan,Cote d`Ivoire,1993,15609231
Japan,Cote d`Ivoire,1994,48931245
Japan,Cote d`Ivoire,1995,63923156
Japan,Cote d`Ivoire,1996,41224814
Japan,Cote d`Ivoire,1997,39417266
Japan,Cote d`Ivoire,1998,50871365
Japan,Cote d`Ivoire,1999,20792735
Japan,Cote d`Ivoire,2000,29219098
Japan,Cote d`Ivoire,2001,327018
Japan,Cote d`Ivoire,2002,461411
Japan,Cote d`Ivoire,2003,3207549
Japan,Cote d`Ivoire,2004,2608730
Japan,Cote d`Ivoire,2005,1763505
Japan,Cote d`Ivoire,2006,26295772
Japan,Cote d`Ivoire,2007,13977878
Japan,Cote d`Ivoire,2008,21836602
Japan,Cote d`Ivoire,2009,18162014
Japan,Cote d`Ivoire,2010,89794630
Japan,Cote d`Ivoire,2011,6616308
Japan,Cote d`Ivoire,2012,38445567
Japan,Cote d`Ivoire,2013,29324749
Japan,Croatia,1998,718214
Japan,Croatia,1999,595597
Japan,Croatia,2000,628969
Japan,Croatia,2001,988685
Japan,Croatia,2002,556323
Japan,Croatia,2003,1732446
Japan,Croatia,2004,1229989
Japan,Croatia,2005,1580327
Japan,Croatia,2006,621891
Japan,Croatia,2007,10406685
Japan,Croatia,2008,1198148
Japan,Croatia,2009,749295
Japan,Croatia,2010,2029915
Japan,Cuba,1998,10804705
Japan,Cuba,1999,467969
Japan,Cuba,2000,280021
Japan,Cuba,2001,889489
Japan,Cuba,2002,1055048
Japan,Cuba,2003,7574665
Japan,Cuba,2004,4781328
Japan,Cuba,2005,7032624
Japan,Cuba,2006,5218631
Japan,Cuba,2007,2498108
Japan,Cuba,2008,4387179
Japan,Cuba,2009,4106087
Japan,Cuba,2010,5620769
Japan,Cuba,2011,4794096
Japan,Cuba,2012,5905670
Japan,Cuba,2013,4342019
Japan,Cyprus,2003,27266
Japan,Czech Republic,1991,319860597
Japan,Czech Republic,1992,482062
Japan,Czech Republic,1993,90879943
Japan,Czech Republic,1994,468990
Japan,Czech Republic,1995,126292586
Japan,Czech Republic,1996,519401
Japan,Czech Republic,1997,829064
Japan,Czech Republic,1998,511360
Japan,Czech Republic,1999,531784
Japan,Czech Republic,2000,446956
Japan,Czech Republic,2002,618060
Japan,Czech Republic,2003,2317344
Japan,Djibouti,1990,13403086
Japan,Djibouti,1991,6494091
Japan,Djibouti,1992,6350648
Japan,Djibouti,1993,7491596
Japan,Djibouti,1994,38759383
Japan,Djibouti,1995,15516247
Japan,Djibouti,1996,10388020
Japan,Djibouti,1997,26278178
Japan,Djibouti,1998,10489699
Japan,Djibouti,1999,8806335
Japan,Djibouti,2000,4954215
Japan,Djibouti,2001,10420978
Japan,Djibouti,2002,5495500
Japan,Djibouti,2003,11647164
Japan,Djibouti,2004,3280622
Japan,Djibouti,2005,6365770
Japan,Djibouti,2006,2663263
Japan,Djibouti,2007,7431289
Japan,Djibouti,2008,12705722
Japan,Djibouti,2009,40287577
Japan,Djibouti,2010,27229747
Japan,Djibouti,2011,17734818
Japan,Djibouti,2012,37795845
Japan,Djibouti,2013,12327395
Japan,Dominica,1991,361966
Japan,Dominica,1993,7032501
Japan,Dominica,1994,6284461
Japan,Dominica,1996,6017450
Japan,Dominica,1998,498759
Japan,Dominica,1999,5424192
Japan,Dominica,2001,18738140
Japan,Dominica,2002,18413160
Japan,Dominica,2003,665090
Japan,Dominica,2004,1250147
Japan,Dominica,2005,1080865
Japan,Dominica,2006,741362
Japan,Dominica,2007,924290
Japan,Dominica,2008,1490312
Japan,Dominica,2009,10352933
Japan,Dominica,2010,870710
Japan,Dominica,2011,772586
Japan,Dominica,2012,673061
Japan,Dominica,2013,598689
Japan,Dominican Republic,1990,10268055
Japan,Dominican Republic,1991,8932037
Japan,Dominican Republic,1992,16620672
Japan,Dominican Republic,1993,3839704
Japan,Dominican Republic,1994,114996242
Japan,Dominican Republic,1995,85349853
Japan,Dominican Republic,1996,11879714
Japan,Dominican Republic,1997,18165945
Japan,Dominican Republic,1998,27899029
Japan,Dominican Republic,1999,20314130
Japan,Dominican Republic,2000,25029556
Japan,Dominican Republic,2001,21070870
Japan,Dominican Republic,2002,14427430
Japan,Dominican Republic,2003,24249250
Japan,Dominican Republic,2004,13461074
Japan,Dominican Republic,2005,14471973
Japan,Dominican Republic,2006,29374284
Japan,Dominican Republic,2007,16892621
Japan,Dominican Republic,2008,14862717
Japan,Dominican Republic,2009,12356771
Japan,Dominican Republic,2010,12943678
Japan,Dominican Republic,2011,10808205
Japan,Dominican Republic,2012,9616220
Japan,Dominican Republic,2013,8220071
Japan,Ecuador,1990,118803562
Japan,Ecuador,1991,4961059
Japan,Ecuador,1992,209592
Japan,Ecuador,1993,46368596
Japan,Ecuador,1994,26346793
Japan,Ecuador,1995,42485959
Japan,Ecuador,1996,119177191
Japan,Ecuador,1997,141633502
Japan,Ecuador,1998,19700473
Japan,Ecuador,1999,13315859
Japan,Ecuador,2000,463111
Japan,Ecuador,2001,36833145
Japan,Ecuador,2002,10701732
Japan,Ecuador,2003,48433013
Japan,Ecuador,2004,35444788
Japan,Ecuador,2005,36877573
Japan,Ecuador,2006,44504369
Japan,Ecuador,2007,34229169
Japan,Ecuador,2008,10193373
Japan,Ecuador,2009,13192956
Japan,Ecuador,2010,35815615
Japan,Ecuador,2011,9565345
Japan,Ecuador,2012,12785886
Japan,Ecuador,2013,6959566
Japan,Egypt,1990,500764220
Japan,Egypt,1991,290243284
Japan,Egypt,1992,223624532
Japan,Egypt,1993,2281817002
Japan,Egypt,1994,103469521
Japan,Egypt,1995,98283559
Japan,Egypt,1996,57978662
Japan,Egypt,1997,169860505
Japan,Egypt,1998,31374595
Japan,Egypt,1999,9338118
Japan,Egypt,2000,49897559
Japan,Egypt,2001,9690638
Japan,Egypt,2002,74960473
Japan,Egypt,2003,296146221
Japan,Egypt,2004,131732610
Japan,Egypt,2005,85872599
Japan,Egypt,2006,638465831
Japan,Egypt,2007,50539395
Japan,Egypt,2008,333951329
Japan,Egypt,2009,31637244
Japan,Egypt,2010,527484488
Japan,Egypt,2011,35558035
Japan,Egypt,2012,487680269
Japan,Egypt,2013,16857352
Japan,El Salvador,1990,9274018
Japan,El Salvador,1991,8101645
Japan,El Salvador,1992,18014461
Japan,El Salvador,1993,137551128
Japan,El Salvador,1994,129461965
Japan,El Salvador,1995,34171435
Japan,El Salvador,1996,134168031
Japan,El Salvador,1997,17798638
Japan,El Salvador,1998,18576953
Japan,El Salvador,1999,24687518
Japan,El Salvador,2000,16147509
Japan,El Salvador,2001,145891409
Japan,El Salvador,2002,977068
Japan,El Salvador,2003,16162604
Japan,El Salvador,2004,9114764
Japan,El Salvador,2005,24191096
Japan,El Salvador,2006,21742186
Japan,El Salvador,2007,45118695
Japan,El Salvador,2008,13895885
Japan,El Salvador,2009,12862985
Japan,El Salvador,2010,33497457
Japan,El Salvador,2011,15092335
Japan,El Salvador,2012,23500281
Japan,El Salvador,2013,15246214
Japan,Equatorial Guinea,1990,1092346
Japan,Equatorial Guinea,1991,2182440
Japan,Equatorial Guinea,1992,1047962
Japan,Equatorial Guinea,1993,1043398
Japan,Equatorial Guinea,1995,20996
Japan,Equatorial Guinea,2003,36926
Japan,Equatorial Guinea,2004,20232
Japan,Equatorial Guinea,2005,109769
Japan,Equatorial Guinea,2006,6882
Japan,Equatorial Guinea,2007,17760
Japan,Equatorial Guinea,2008,111085
Japan,Equatorial Guinea,2009,109743
Japan,Equatorial Guinea,2010,350498
Japan,Equatorial Guinea,2011,318755
Japan,Equatorial Guinea,2012,72065
Japan,Equatorial Guinea,2013,32151
Japan,Eritrea,1996,18210705
Japan,Eritrea,1997,16151005
Japan,Eritrea,2000,5708117
Japan,Eritrea,2001,5450303
Japan,Eritrea,2002,10208620
Japan,Eritrea,2003,5128543
Japan,Eritrea,2004,6066249
Japan,Eritrea,2005,13925784
Japan,Eritrea,2006,9981723
Japan,Eritrea,2007,32233556
Japan,Eritrea,2008,8113332
Japan,Eritrea,2009,3573651
Japan,Eritrea,2010,5384050
Japan,Eritrea,2011,9478731
Japan,Eritrea,2012,1764500
Japan,Eritrea,2013,929553
Japan,Estonia,1993,31093253
Japan,Estonia,2000,480343
Japan,Estonia,2001,498158
Japan,Estonia,2002,91222
Japan,Estonia,2003,1042198
Japan,Estonia,2004,527509
Japan,Ethiopia,1990,32814077
Japan,Ethiopia,1991,7494820
Japan,Ethiopia,1992,19942710
Japan,Ethiopia,1993,74133412
Japan,Ethiopia,1994,24293659
Japan,Ethiopia,1995,47157631
Japan,Ethiopia,1996,46439937
Japan,Ethiopia,1997,42460666
Japan,Ethiopia,1998,61216161
Japan,Ethiopia,1999,51551093
Japan,Ethiopia,2000,9122217
Japan,Ethiopia,2001,30859613
Japan,Ethiopia,2002,63699325
Japan,Ethiopia,2003,46382700
Japan,Ethiopia,2004,29361190
Japan,Ethiopia,2005,100292881
Japan,Ethiopia,2006,66394799
Japan,Ethiopia,2007,47596576
Japan,Ethiopia,2008,40522711
Japan,Ethiopia,2009,108458651
Japan,Ethiopia,2010,128794010
Japan,Ethiopia,2011,151742635
Japan,Ethiopia,2012,106147540
Japan,Ethiopia,2013,130440586
Japan,"Europe, Regional Programs",1996,36516423
Japan,"Europe, Regional Programs",1998,13902264
Japan,"Europe, Regional Programs",1999,15123922
Japan,"Europe, Regional Programs",2003,675975
Japan,"Europe, Regional Programs",2004,886331
Japan,"Europe, Regional Programs",2005,296379
Japan,"Europe, Regional Programs",2006,1743383
Japan,"Europe, Regional Programs",2007,451239
Japan,"Europe, Regional Programs",2008,671780
Japan,"Europe, Regional Programs",2009,1220710
Japan,"Europe, Regional Programs",2010,2143807
Japan,"Europe, Regional Programs",2011,973069
Japan,"Europe, Regional Programs",2012,665867
Japan,"Europe, Regional Programs",2013,551952
Japan,"Ex-Yugoslavian States, Unspecified",1998,30419076
Japan,"Ex-Yugoslavian States, Unspecified",1999,38650025
Japan,"Ex-Yugoslavian States, Unspecified",2000,1177218
Japan,"Ex-Yugoslavian States, Unspecified",2001,17015845
Japan,"Ex-Yugoslavian States, Unspecified",2002,21252728
Japan,"Ex-Yugoslavian States, Unspecified",2003,1280241
Japan,"Ex-Yugoslavian States, Unspecified",2004,205567
Japan,"Ex-Yugoslavian States, Unspecified",2005,325792
Japan,"Ex-Yugoslavian States, Unspecified",2006,181165
Japan,"Ex-Yugoslavian States, Unspecified",2007,176664
Japan,"Ex-Yugoslavian States, Unspecified",2008,84585
Japan,Falkland Islands,1998,6352621
Japan,Falkland Islands,1999,3741948
Japan,"Far East Asia, Regional Programs",1995,28344970
Japan,"Far East Asia, Regional Programs",2003,7280958
Japan,"Far East Asia, Regional Programs",2004,5644644
Japan,"Far East Asia, Regional Programs",2005,6424624
Japan,"Far East Asia, Regional Programs",2006,4728566
Japan,"Far East Asia, Regional Programs",2007,3929422
Japan,"Far East Asia, Regional Programs",2008,7608632
Japan,"Far East Asia, Regional Programs",2009,9352042
Japan,"Far East Asia, Regional Programs",2010,8430313
Japan,"Far East Asia, Regional Programs",2011,6457310
Japan,"Far East Asia, Regional Programs",2012,9141930
Japan,"Far East Asia, Regional Programs",2013,6363355
Japan,Fiji,1990,109235
Japan,Fiji,1991,12147143
Japan,Fiji,1992,11380863
Japan,Fiji,1993,396491
Japan,Fiji,1994,958824
Japan,Fiji,1995,6582332
Japan,Fiji,1996,23668639
Japan,Fiji,1998,43671379
Japan,Fiji,1999,1049740
Japan,Fiji,2000,463111
Japan,Fiji,2001,1471582
Japan,Fiji,2002,13203397
Japan,Fiji,2003,15257790
Japan,Fiji,2004,12988501
Japan,Fiji,2005,20475418
Japan,Fiji,2006,12333862
Japan,Fiji,2007,9470916
Japan,Fiji,2008,35602522
Japan,Fiji,2009,19473376
Japan,Fiji,2010,10620602
Japan,Fiji,2011,13857078
Japan,Fiji,2012,20646356
Japan,Fiji,2013,6490095
Japan,Gabon,1991,894268
Japan,Gabon,1992,450624
Japan,Gabon,1993,6249953
Japan,Gabon,1994,333504
Japan,Gabon,1996,513067
Japan,Gabon,1998,189004
Japan,Gabon,1999,42543
Japan,Gabon,2000,8109834
Japan,Gabon,2001,250714
Japan,Gabon,2002,533014
Japan,Gabon,2003,11311344
Japan,Gabon,2004,4965354
Japan,Gabon,2005,2008268
Japan,Gabon,2006,2623600
Japan,Gabon,2007,23925830
Japan,Gabon,2008,5564873
Japan,Gabon,2009,20122149
Japan,Gabon,2010,22422099
Japan,Gabon,2011,5019748
Japan,Gabon,2012,5417606
Japan,Gabon,2013,3720992
Japan,Gambia,1990,10639450
Japan,Gambia,1991,2661513
Japan,Gambia,1992,18276451
Japan,Gambia,1993,12520773
Japan,Gambia,1996,95012
Japan,Gambia,1998,1806034
Japan,Gambia,1999,4509524
Japan,Gambia,2000,1733975
Japan,Gambia,2001,11630946
Japan,Gambia,2002,1882283
Japan,Gambia,2003,6547072
Japan,Gambia,2004,8521829
Japan,Gambia,2005,10781575
Japan,Gambia,2006,8945545
Japan,Gambia,2007,5182462
Japan,Gambia,2008,8120790
Japan,Gambia,2009,6802037
Japan,Gambia,2010,28143706
Japan,Gambia,2011,8768244
Japan,Gambia,2012,7668652
Japan,Gambia,2013,3108022
Japan,Georgia,1997,10494480
Japan,Georgia,1998,59977138
Japan,Georgia,1999,14166712
Japan,Georgia,2000,4574033
Japan,Georgia,2001,13244236
Japan,Georgia,2002,5246876
Japan,Georgia,2003,2754043
Japan,Georgia,2004,5781573
Japan,Georgia,2005,8662869
Japan,Georgia,2006,12597926
Japan,Georgia,2007,7073173
Japan,Georgia,2008,18818464
Japan,Georgia,2009,215484456
Japan,Georgia,2010,9936003
Japan,Georgia,2011,1307131
Japan,Georgia,2012,2790388
Japan,Georgia,2013,1551902
Japan,Ghana,1990,167511273
Japan,Ghana,1991,36952443
Japan,Ghana,1992,83711174
Japan,Ghana,1993,31938406
Japan,Ghana,1994,163823267
Japan,Ghana,1995,137609580
Japan,Ghana,1996,131444342
Japan,Ghana,1997,59314801
Japan,Ghana,1998,129708960
Japan,Ghana,1999,155014891
Japan,Ghana,2000,91157554
Japan,Ghana,2001,27425922
Japan,Ghana,2002,13509920
Japan,Ghana,2003,61630477
Japan,Ghana,2004,1309617478
Japan,Ghana,2005,27403156
Japan,Ghana,2006,47037128
Japan,Ghana,2007,72664721
Japan,Ghana,2008,38386840
Japan,Ghana,2009,177308622
Japan,Ghana,2010,61278676
Japan,Ghana,2011,46309214
Japan,Ghana,2012,58559037
Japan,Ghana,2013,43933586
Japan,Grenada,1990,5035716
Japan,Grenada,1994,3116175
Japan,Grenada,1995,5270065
Japan,Grenada,1998,489309
Japan,Grenada,1999,10220879
Japan,Grenada,2002,15598990
Japan,Grenada,2003,152782
Japan,Grenada,2004,254711
Japan,Grenada,2005,1481509
Japan,Grenada,2006,669863
Japan,Grenada,2007,116016
Japan,Grenada,2008,533629
Japan,Grenada,2009,14830956
Japan,Grenada,2010,136536
Japan,Grenada,2011,124418
Japan,Grenada,2012,39252
Japan,Grenada,2013,125126
Japan,Guatemala,1990,75699584
Japan,Guatemala,1991,5919204
Japan,Guatemala,1992,63799904
Japan,Guatemala,1993,17424743
Japan,Guatemala,1994,19530811
Japan,Guatemala,1995,69350692
Japan,Guatemala,1996,19203058
Japan,Guatemala,1997,38835872
Japan,Guatemala,1998,43301771
Japan,Guatemala,1999,93285463
Japan,Guatemala,2000,24944471
Japan,Guatemala,2001,22006141
Japan,Guatemala,2002,37334497
Japan,Guatemala,2003,20108434
Japan,Guatemala,2004,29554418
Japan,Guatemala,2005,40851222
Japan,Guatemala,2006,136888452
Japan,Guatemala,2007,13795583
Japan,Guatemala,2008,13655098
Japan,Guatemala,2009,13111271
Japan,Guatemala,2010,35614059
Japan,Guatemala,2011,13546614
Japan,Guatemala,2012,139164506
Japan,Guatemala,2013,6975126
Japan,Guinea,1990,67627146
Japan,Guinea,1991,20994013
Japan,Guinea,1992,28860864
Japan,Guinea,1993,28735175
Japan,Guinea,1994,31807914
Japan,Guinea,1995,10813081
Japan,Guinea,1996,4191102
Japan,Guinea,1997,5767766
Japan,Guinea,1998,66867306
Japan,Guinea,1999,21939058
Japan,Guinea,2000,18413847
Japan,Guinea,2001,38269682
Japan,Guinea,2002,28725892
Japan,Guinea,2003,19759085
Japan,Guinea,2004,26698880
Japan,Guinea,2005,32678283
Japan,Guinea,2006,37076926
Japan,Guinea,2007,27631830
Japan,Guinea,2008,26820154
Japan,Guinea,2009,4491036
Japan,Guinea,2010,8473050
Japan,Guinea,2011,1998180
Japan,Guinea,2012,22814021
Japan,Guinea,2013,65920315
Japan,Guinea-Bissau,1990,7646422
Japan,Guinea-Bissau,1991,4843953
Japan,Guinea-Bissau,1992,2619904
Japan,Guinea-Bissau,1993,5738687
Japan,Guinea-Bissau,1994,12725251
Japan,Guinea-Bissau,1995,20733820
Japan,Guinea-Bissau,1996,5806312
Japan,Guinea-Bissau,1997,18050506
Japan,Guinea-Bissau,1998,3255062
Japan,Guinea-Bissau,1999,297799
Japan,Guinea-Bissau,2001,174410
Japan,Guinea-Bissau,2003,80834
Japan,Guinea-Bissau,2004,11014
Japan,Guinea-Bissau,2005,44912
Japan,Guinea-Bissau,2006,50989
Japan,Guinea-Bissau,2007,5641337
Japan,Guinea-Bissau,2008,4349630
Japan,Guinea-Bissau,2009,10589627
Japan,Guinea-Bissau,2010,27372766
Japan,Guinea-Bissau,2011,3909570
Japan,Guinea-Bissau,2012,15817923
Japan,Guinea-Bissau,2013,1735611
Japan,Guyana,1990,9099243
Japan,Guyana,1991,53230
Japan,Guyana,1992,52398
Japan,Guyana,1993,41736
Japan,Guyana,1994,2292838
Japan,Guyana,1995,10750092
Japan,Guyana,1996,3230421
Japan,Guyana,1997,10494480
Japan,Guyana,1998,73501
Japan,Guyana,1999,63814
Japan,Guyana,2000,193861
Japan,Guyana,2001,5613812
Japan,Guyana,2002,7897084
Japan,Guyana,2003,9053648
Japan,Guyana,2004,386556
Japan,Guyana,2005,418228
Japan,Guyana,2006,15742797
Japan,Guyana,2007,9728253
Japan,Guyana,2008,6570911
Japan,Guyana,2009,11521845
Japan,Guyana,2010,1330365
Japan,Guyana,2011,864550
Japan,Guyana,2012,1730346
Japan,Guyana,2013,778895
Japan,Haiti,1990,12157811
Japan,Haiti,1991,11636134
Japan,Haiti,1993,146076
Japan,Haiti,1994,135486
Japan,Haiti,1995,8881423
Japan,Haiti,1996,20448774
Japan,Haiti,1997,17147980
Japan,Haiti,1998,9087923
Japan,Haiti,1999,12789393
Japan,Haiti,2000,10123831
Japan,Haiti,2001,7783033
Japan,Haiti,2002,7877001
Japan,Haiti,2003,9147848
Japan,Haiti,2004,4246950
Japan,Haiti,2005,1199724
Japan,Haiti,2006,7567274
Japan,Haiti,2007,15087049
Japan,Haiti,2008,18086438
Japan,Haiti,2009,26077782
Japan,Haiti,2010,82824331
Japan,Haiti,2011,13798207
Japan,Haiti,2012,187438106
Japan,Haiti,2013,5772535
Japan,Honduras,1990,100921856
Japan,Honduras,1991,23219037
Japan,Honduras,1992,39047052
Japan,Honduras,1993,13825020
Japan,Honduras,1994,37435789
Japan,Honduras,1995,38286705
Japan,Honduras,1996,41499296
Japan,Honduras,1997,37056008
Japan,Honduras,1998,34385003
Japan,Honduras,1999,88180342
Japan,Honduras,2000,130866664
Japan,Honduras,2001,12195596
Japan,Honduras,2002,157000747
Japan,Honduras,2003,30907999
