sender_iso3,recipient_iso3,year,arms_tiv,bilateral_debt,ucdp_troops,ucdp_weapons,ucdp_training,ucdp_funding,bilateral_aid,colonial_tie,journalist_killings,oda_received,us_intervention
BGR,GEO,2005,18.4,,0,0,0,0,,0,0.0,220650003.185496,0
BGR,GEO,2006,4.5,,0,0,0,0,,0,0.0,267569999.12113,0
BGR,GEO,2007,1.5,,0,0,0,0,,0,0.0,276089997.360483,0
BGR,GEO,2009,2.4,,0,0,0,0,,0,0.0,621509988.225997,0
BGR,GEO,2011,1.68,,0,0,0,0,,0,0.0,499989995.870739,0
BGR,GEO,2013,5.2,,0,0,0,0,,0,0.0,544431974.430569,0
BGR,KHM,1996,4.0,,0,0,0,0,,0,1.0,305289996.400476,0
BGR,KHM,1997,4.0,,0,0,0,0,,0,3.0,263100002.255291,0
BGR,KHM,2010,4.24,,0,0,0,0,,0,0.0,544430006.0682,0
BGR,LTU,1999,5.0,,0,0,0,0,,0,0.0,126589998.783544,0
BGR,MKD,1999,71.64,,0,0,0,0,,0,0.0,221930000.20273,0
BGR,MLI,2007,7.8,,0,0,0,0,,0,0.0,736610008.047893,0
BGR,MLI,2008,3.21,,0,0,0,0,,0,0.0,681390001.265332,0
BGR,MLI,2009,10.44,,0,0,0,0,,0,0.0,676790002.517402,0
BGR,MLI,2012,6.6,,0,0,0,0,,0,0.0,818145016.338676,0
BGR,MLI,2013,7.2,,0,0,1,0,,0,2.0,1019616353.96187,0
BGR,MMR,1999,7.0,,0,0,0,0,,0,2.0,53680000.2697855,0
BGR,PER,1994,11.2,,0,0,0,0,,0,0.0,335459995.478392,0
BGR,PER,1995,1.47,,0,0,0,0,,0,0.0,362559998.195618,0
BGR,PER,1996,16.52,,0,0,0,0,,0,0.0,315639999.723062,0
BGR,ROU,1992,7.5,,0,0,0,0,,0,0.0,253780001.427979,0
BGR,SYR,1992,52.5,,0,0,0,0,,0,0.0,57670000.6593019,0
BGR,TCD,2008,0.8,,0,0,0,0,,0,0.0,425560003.485531,0
BGR,TCD,2009,3.2,,0,0,0,0,,0,0.0,474510003.004224,0
BGR,TGO,1997,2.4,,0,0,0,0,,0,0.0,80500002.0638108,0
BGR,TJK,2013,3.6,,0,0,0,0,,0,0.0,165564361.047698,0
BGR,UGA,1998,14.0,,0,0,0,0,,0,0.0,439999997.269362,0
BGR,UGA,2012,6.0,,0,0,0,0,,0,0.0,1043685836.26486,1
BGR,USA,2002,2.9,,0,0,0,0,,0,0.0,,0
BGR,USA,2003,6.6,,0,0,0,0,,0,0.0,,0
BGR,ZWE,2000,6.0,,0,0,0,0,,0,0.0,191179999.304935,0
BHR,CHL,2001,2.0,,0,0,0,0,,0,0.0,47579999.3555992,0
BIH,AFG,2011,13.86,,0,0,0,0,,0,2.0,6316819943.33864,1
BIH,AFG,2013,2.8,,0,0,0,0,,0,0.0,4522279463.12725,1
BIH,CMR,2002,8.68,,0,0,0,0,,0,0.0,477270007.336512,0
BLR,AGO,1993,7.56,,0,0,0,0,,0,3.0,196009998.50221,0
BLR,AGO,1999,176.32,,0,0,0,0,,0,1.0,304740001.747385,0
BLR,AGO,2000,48.0,,0,0,0,0,,0,0.0,234519998.99745,0
BLR,ARM,2007,1.4,,0,0,0,0,,0,0.0,252260002.870113,0
BLR,AZE,2005,19.76,,0,0,0,0,,0,1.0,121710000.17412,0
BLR,AZE,2006,42.64,,0,0,0,0,,0,0.0,114430001.514032,0
BLR,AZE,2008,1.32,,0,0,0,0,,0,0.0,133550001.537427,0
BLR,AZE,2009,26.96,,0,0,0,0,,0,1.0,136870000.738651,0
BLR,AZE,2010,8.8,,0,0,0,0,,0,0.0,82639999.203384,0
BLR,AZE,2011,50.64,,0,0,0,0,,0,1.0,201510001.048446,0
BLR,AZE,2012,69.08,,0,0,0,0,,0,0.0,241789314.6188,0
