recipient_iso3,year,arms_tiv_in_strength_lag1,arms_tiv_out_strength_lag1,arms_tiv_dependency_balance_lag1,arms_tiv_in_concentration_lag1,arms_tiv_pagerank_lag1,bilateral_oda_in_strength_lag1,bilateral_oda_out_strength_lag1,bilateral_oda_dependency_balance_lag1,bilateral_oda_in_concentration_lag1,bilateral_oda_pagerank_lag1,colonial_tie_in_strength_lag1,colonial_tie_out_strength_lag1,colonial_tie_dependency_balance_lag1,colonial_tie_in_concentration_lag1,colonial_tie_pagerank_lag1,econ_neocol_score_in_strength_lag1,econ_neocol_score_out_strength_lag1,econ_neocol_score_dependency_balance_lag1,econ_neocol_score_in_concentration_lag1,econ_neocol_score_pagerank_lag1
GHA,2011,1.1631508098056809,0.0,0.7715658670580717,1.0,0.004181435280521224,53.63781294226079,0.0,4.000726187782471,0.06985611861535504,0.005479609656884207,2.0,0.0,1.0986122886681098,0.5,0.005401096488221055,61.616614345418206,0.0,4.137030647771294,0.04567041606708999,0.0059408047921172945
GHA,2012,10.013036783265408,0.0,2.399079733163192,0.2745872198093604,0.0053265984488700645,56.064916031278536,0.0,4.044189497546994,0.06400572672786463,0.005512537980020933,2.0,0.0,1.0986122886681098,0.5,0.005451983617139617,81.63945210961106,0.0,4.414487194944428,0.04142416077125111,0.006404034683907739
GHA,2013,7.64450059700909,0.0,2.1569233496249955,0.3208905114905887,0.005306736974696238,56.15014407754764,0.0,4.045681911279595,0.06451972622021593,0.005700249373225651,2.0,0.0,1.0986122886681098,0.5,0.005404067234071378,76.29448816461544,0.0,4.347622648582987,0.045937348679879204,0.0062693967618604315
GHA,2014,6.893818613243264,0.0,2.0660799991762135,0.45539725030563233,0.004480074636132205,54.61233044881989,0.0,4.018404947331287,0.06456627687710224,0.00578029764654111,2.0,0.0,1.0986122886681098,0.5,0.005457626227597768,68.75928955407953,0.0,4.245050595404363,0.043376835991156056,0.006903611919987963
GHA,2015,4.889032472337007,0.0,1.7730917180136274,0.34211521670206085,0.004632724686287892,51.432651865829584,0.0,3.9595295244743376,0.06420945038006327,0.005416845487664497,2.0,0.0,1.0986122886681098,0.5,0.0055111796576902865,67.7600606292894,0.0,4.230623062266578,0.04732848879102363,0.007169388555224389
GHA,2016,2.9014215940827492,0.0,1.3613409980207642,0.8355015448599672,0.00436126696837338,50.43771597251199,0.0,3.9403716771650377,0.06684674570158358,0.005413194043471398,3.0,0.0,1.3862943611198906,0.3333333333333333,0.005813340323495507,76.62511178759941,0.0,4.351890980350505,0.04086919301449806,0.00775115186072739
GHA,2017,5.716204994654758,0.0,1.9045232620750714,0.38076138705704204,0.004440337667584866,49.560706005583874,0.0,3.9231747134591455,0.06671398185625092,0.005539888674778457,3.0,0.0,1.3862943611198906,0.3333333333333333,0.005820334894255314,69.00018586933744,0.0,4.248497897322083,0.04355384920179897,0.00707468967317678
GHA,2018,0.0,0.0,0.0,0.0,0.003908947250601501,48.74745562696812,0.0,3.9069593191202245,0.06722735685502765,0.0054331972674652495,2.0,0.0,1.0986122886681098,0.5,0.005486402068862754,68.1943111470309,0.0,4.236918650386356,0.043879420943390104,0.007105335022686907
GHA,2019,0.37156355643248307,0.0,0.3159513711402529,1.0,0.0041527657899936826,49.237323779232646,0.0,3.9167582520156494,0.0678912613594009,0.005469100194531944,2.0,0.0,1.0986122886681098,0.5,0.005510713783695373,66.58504331446267,0.0,4.213386705824284,0.04470499365531202,0.006908556666045286
GHA,2020,1.1314021114911006,0.0,0.7567800314634664,1.0,0.004282407112225538,45.80563857277235,0.0,3.8460036779903843,0.06663738863647578,0.005640605832946397,2.0,0.0,1.0986122886681098,0.5,0.005527366366372194,65.18979840266806,0.0,4.192526348389195,0.04589989411683255,0.006697340513707905
GHA,2021,2.3978952727983707,0.0,1.223156202527103,1.0,0.004580225662476258,48.48121880987732,0.0,3.9015931795951535,0.06377142617049066,0.005526117509628549,2.0,0.0,1.0986122886681098,0.5,0.005525864806662835,67.77864542014993,0.0,4.2308933104244595,0.04402932496440592,0.007224881297598486
GHA,2022,0.0,0.0,0.0,0.0,0.003847152597242096,54.65831396021351,0.0,4.019231463871306,0.05665105809693496,0.00617877438161955,3.0,0.0,1.3862943611198906,0.3333333333333333,0.005810238957215235,66.13052151202793,0.0,4.206638806608521,0.043434496261345226,0.006652705693393145
GHA,2023,5.312023013604149,0.0,1.8424562295451883,0.5646296365129412,0.0075122672749850065,46.32803766017469,0.0,3.8571028822552256,0.06470890670049348,0.005483492721344403,3.0,0.0,1.3862943611198906,0.3333333333333333,0.00590062902554132,64.55665048482739,0.0,4.18291466173499,0.04542076018410633,0.010041743496651835
GHA,2024,2.6962474889830585,0.0,1.3073181128425697,0.5042539294483355,0.003917649681046157,45.22758667015265,0.0,3.8335767339585876,0.06552768580438481,0.005501047947411456,2.0,0.0,1.0986122886681098,0.5,0.005479446622036643,59.32898834691834,0.0,4.099812723654995,0.050600599331693016,0.006177156715260311
GIB,1992,,,,,,,,,,,,,,,,,,,,
GIB,1993,0.0,0.0,0.0,0.0,0.003988533920434627,1.4357538250677713,0.0,0.8902562877081099,0.9725666302863523,0.004393648157517076,0.0,0.0,0.0,0.0,0.004721429600309438,0.0,0.0,0.0,0.0,0.0048780487804878075
GIB,1994,0.0,0.0,0.0,0.0,0.0037646983771436543,0.009950330853168083,0.0,0.009901152270820517,1.0,0.004308246140002282,0.0,0.0,0.0,0.0,0.004633915103801161,0.0,0.0,0.0,0.0,0.004784688995215326
GIB,1995,0.0,0.0,0.0,0.0,0.003786306227910075,0.4644884485576254,0.0,0.38150599961891735,0.8453827016342923,0.004318093564661027,0.0,0.0,0.0,0.0,0.004655488164312775,0.0,0.0,0.0,0.0,0.0048076923076922976
GIB,1996,0.0,0.0,0.0,0.0,0.0037550006118269737,0.19622446196294605,0.0,0.17917031514581602,0.6801478971873567,0.004345315337250937,0.0,0.0,0.0,0.0,0.004655488164312784,0.0,0.0,0.0,0.0,0.004125879622069034
GIB,1997,0.0,0.0,0.0,0.0,0.0037150446214156856,0.0880108773227133,0.0,0.08435114592303437,0.5059111414430124,0.004364847800238219,0.0,0.0,0.0,0.0,0.00467726302834601,0.0,0.0,0.0,0.0,0.004115836495190803
GIB,1998,0.0,0.0,0.0,0.0,0.003827178970973359,0.32222841620436443,0.0,0.2793185072946012,0.833364783937387,0.004414073991215219,0.0,0.0,0.0,0.0,0.004766438231293115,0.0,0.0,0.0,0.0,0.004168116127879836
GIB,1999,0.0,0.0,0.0,0.0,0.003918880230911954,0.20057069046181777,0.0,0.18279701912867058,0.9057021344427814,0.0043231854933013375,0.0,0.0,0.0,0.0,0.004721429600309432,0.0,0.0,0.0,0.0,0.004156835097942212
GIN,1992,,,,,,,,,,,,,,,,,,,,
GIN,1993,0.0,0.0,0.0,0.0,0.003988533920434627,25.071383121226656,0.0,3.2608382806702974,0.11175945139954617,0.0049218917767189585,1.0,0.0,0.6931471805599453,1.0,0.004846847303186645,0.0,0.0,0.0,0.0,0.0048780487804878075
GIN,1994,0.0,0.0,0.0,0.0,0.0037646983771436543,26.16873212062424,0.0,3.302066757668684,0.09805415039495387,0.004855690518359884,1.0,0.0,0.6931471805599453,1.0,0.004757007851088502,0.0,0.0,0.0,0.0,0.004784688995215326
GIN,1995,0.0,0.0,0.0,0.0,0.003786306227910075,25.938575642642757,0.0,3.2935592981161266,0.10794567026502756,0.004813811561081373,1.0,0.0,0.6931471805599453,1.0,0.004779154030808636,0.0,0.0,0.0,0.0,0.0048076923076922976
GIN,1996,0.0,0.0,0.0,0.0,0.0037550006118269737,25.86017822701119,0.0,3.290644826479302,0.10480717929085384,0.004948453197362307,1.0,0.0,0.6931471805599453,1.0,0.0047791540308086446,51.83465058971029,0.0,3.9671672366357766,0.06342417381755991,0.00541726505223758
GIN,1997,0.0,0.0,0.0,0.0,0.0037150446214156856,24.678319088899308,0.0,3.245647020639674,0.0994912820857299,0.004924763885768499,1.0,0.0,0.6931471805599453,1.0,0.004801507376519345,52.746390897642264,0.0,3.984276518662996,0.06371831092951338,0.005350282323623444
GIN,1998,0.0,0.0,0.0,0.0,0.003827178970973359,26.346416807681585,0.0,3.308585507768888,0.09162273839209961,0.005177397914332836,1.0,0.0,0.6931471805599453,1.0,0.0048930516650724076,56.72027156875987,0.0,4.055608438828072,0.05653097670145492,0.005546013071327741
