recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_stock_5yr,econ_neocol_score_mean
MWI,2005,0.0,328.26,38.34473902198714,1,0,414.361121984475,6.026737868939096,12840031.0,16.368078270553394,0.0,0.0,0.0,1.6671625661733538
MWI,2006,0.0,409.83,42.677500351722664,1,0,440.822149023873,6.088641503908185,13198701.0,16.395628973623197,0.0,0.0,0.0,1.6414423212201024
MWI,2007,0.0,412.04,48.05506941751431,1,0,475.180261659331,6.163694230273571,13576343.0,16.423839350750875,0.0,0.0,0.0,2.0022945590630963
MWI,2008,2.54,441.28,47.96506307897209,1,0,554.048820396119,6.317252806323339,13976417.0,16.452881967214115,0.0,0.0,2.54,1.776483817739707
MWI,2009,0.0,438.97,44.939078110117535,1,0,625.869729869625,6.439142250194645,14395788.0,16.482446221759762,0.0,0.0,2.54,1.7975631244047015
MWI,2010,0.0,513.03,44.68937155766825,1,0,683.124694716799,6.526677412038552,14826463.0,16.511924182633354,0.0,0.0,2.54,1.541012812333388
MWI,2011,0.0,447.793012,49.379940756620144,1,0,763.061000394572,6.637337976181271,15265022.0,16.54107462535545,0.0,0.0,2.54,1.7027565778144877
MWI,2012,0.8,639.671157,51.51289427925842,1,0,558.46208832772,6.325186734965685,15709577.0,16.56978108434416,0.0,0.0,3.34,2.0605157711703366
MWI,2013,2.28,646.674827,57.21509687087486,1,0,496.947368267313,6.208484121630423,16161816.0,16.59816198098111,0.0,0.0,3.08,2.2005806488798023
MWI,2014,1.92,513.6951710000001,50.270725968795176,1,0,529.5133440206,6.271958365895966,16621538.0,16.626209882219605,0.0,0.0,5.0,1.933489460338276
MWI,2015,2.18,584.336498,44.301152712608264,1,0,539.605363240686,6.2908380635738395,17085587.0,16.653745800564966,0.0,0.0,7.18,1.5821840254502952
MWI,2016,0.32,707.418671,43.61568534106268,1,0,450.506105510719,6.110371629699549,17557739.0,16.681005379339013,0.0,0.0,7.5,1.6775263592716416
MWI,2017,0.0,791.823499,40.53641147210877,1,0,495.769683367165,6.206111470831916,18039715.0,16.708086274247794,0.0,0.0,6.7,1.5590927489272604
MWI,2018,0.0,793.941056,36.55491405957414,1,0,533.202567189331,6.278901402976629,18528081.0,16.734798031106962,0.0,0.0,4.42,1.4621965623829656
MWI,2019,0.0,602.957717,38.126960654583094,1,0,580.889139762475,6.364559929286583,19025752.0,16.761303987869095,0.0,0.0,2.5,1.4664215636378113
MWI,2020,0.0,642.838814,37.75311020134696,1,0,602.507478176106,6.401100077198333,19533888.0,16.78766136138041,0.0,0.0,0.32,1.258437006711565
MWI,2021,0.0,578.637732,39.74120999597648,1,0,617.446994451007,6.425593225872022,20047258.0,16.813602944259873,0.0,0.0,0.0,1.281974515999241
